Индекс,,,,Блок/ часть,Наименование,Формируемые компетенции
,,,Б1.В.ДВ.07.02,Б1.В,Командный курсовой проект,ПК-14; ПК-15; ПК-16; ПК-17; ПК-18
Б2,,,,,Практика,УК-2; ОПК-2; ОПК-3; ОПК-4; ОПК-5; ОПК-6; ОПК-8
,Б2.О,,,,Обязательная часть,УК-2; ОПК-2; ОПК-3; ОПК-4; ОПК-5; ОПК-6; ОПК-8
,,Б2.О.01,,Б2.О,Учебная практика,ОПК-5
,,,Б2.О.01.01(У),Б2.О,Ознакомительная практика,ОПК-5
,,Б2.О.02,,Б2.О,Производственная практика,УК-2; ОПК-2; ОПК-3; ОПК-4; ОПК-6; ОПК-8
,,,Б2.О.02.01(П),Б2.О,Научно-исследовательская работа,ОПК-3
,,,Б2.О.02.02(П),Б2.О,Технологическая (проектно-технологическая) практика,ОПК-2; ОПК-4
,,,Б2.О.02.03(П),Б2.О,Преддипломная практика,УК-2; ОПК-2; ОПК-6; ОПК-8
,Б2.В,,,,"Часть, формируемая участниками образовательных отношений",
Б3,,,,,Государственная итоговая аттестация,УК-1; УК-2; УК-3; УК-4; УК-5; УК-6; УК-7; УК-8; УК-9; УК-10; ОПК-1; ОПК-2; ОПК-3; ОПК-4; ОПК-5; ОПК-6; ОПК-7; ОПК-8; ПК-1; ПК-2; ПК-3; ПК-4; ПК-5; ПК-6; ПК-7; ПК-8; ПК-9; ПК-10; ПК-11; ПК-12; ПК-13; ПК-14; ПК-15; ПК-16; ПК-17; ПК-18
,Б3.01(Д),,,Б3,выполнение и защита выпускной квалификационной работы,УК-1; УК-2; УК-3; УК-4; УК-5; УК-6; УК-7; УК-8; УК-9; УК-10; ОПК-1; ОПК-2; ОПК-3; ОПК-4; ОПК-5; ОПК-6; ОПК-7; ОПК-8; ПК-1; ПК-2; ПК-3; ПК-4; ПК-5; ПК-6; ПК-7; ПК-8; ПК-9; ПК-10; ПК-11; ПК-12; ПК-13; ПК-14; ПК-15; ПК-16; ПК-17; ПК-18
ФТД,,,,,Факультативы,УК-1; ОПК-5
,ФТД.01,,,ФТД,Архитектура вычислительных систем,ОПК-5
,ФТД.02,,,ФТД,Основы системных представлений,УК-1
К.М,,,,,Комплексные модули,
,К.М.01,,,К.М,Модуль 1,
