-,-,-,-,Форма контроля,,,,,з.е.,Итого акад.часов,,,,,,Курс 1,,,,,,,,,,,,,,,,Курс 2,,,,,,,,,,,,,,Курс 3,,,,,,,,,,,,,,Курс 4,,,,,,,,,,,,,,Закрепленная кафедра
,,,,,,,,,,,,,,,,Семестр 1,,,,,,,,,Семестр 2,,,,,,,Семестр 3,,,,,,,Семестр 4,,,,,,,Семестр 5,,,,,,,Семестр 6,,,,,,,Семестр 7,,,,,,,Семестр 8,,,,,,,
Считать в плане,Индекс,Наименование,Блок/ часть,Экза мен,Зачет,Зачет с оц.,КП,КР,Факт,По плану,Ауд.,СР,Конт роль,Интер  часы,Элект часы,з.е.,Итого,Лек,Лаб,Пр,Пр электр.,СР,СР электр.,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,Код
+,Б1.О.19,"Теория автоматов, языков и вычислений",Б1.О,,5,,,,3,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,93
+,Б1.О.20,Основы функционального программирования,Б1.О,,6,,,,3,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,93
+,Б1.О.21,Машинно-зависимые языки программирования,Б1.О,6,,,,,4,144,54,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,18,,36,54,36,,,,,,,,,,,,,,,93
+,Б1.О.22,Разработка мобильных приложений,Б1.О,,6,,,,3,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,93
+,Б1.О.23,Разработка корпоративных информационных систем,Б1.О,,5,,,,3,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,93
+,Б1.О.24,Системное программирование,Б1.О,,4,,,,3,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93
+,Б1.О.25,Физическая культура и спорт,Б1.О,,1256,,,,2,72,72,,,,,0.5,18,6,,12,,,,,0.5,18,4,,14,,,,,,,,,,,,,,,,,0.5,18,4,,14,,,0.5,18,4,,14,,,,,,,,,,,,,,,,,346
+,Б1.О.26,Прикладная физическая культура и спорт,Б1.О,,123456,,,,,328,328,,,,,,50,,,50,,,,,,50,,,50,,,,68,,,68,,,,68,,,68,,,,46,,,46,,,,46,,,46,,,,,,,,,,,,,,,,,346
"Часть, формируемая участниками образовательных отношений ",,,,,,,,,87,3132,1020,1752,360,,,,,,,,,,,,,,,,,,,7,252,54,,54,108,36,9,324,54,,108,162,,17.5,630,54,,198,270,108,16.5,594,54,,126,342,72,23,828,72,,144,540,72,14,504,26,,76,330,72,
+,Б1.В.01,Профессионально-ориентированный иностранный язык,Б1.В,,56,,,,3,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,54,,,36,18,,1.5,54,,,18,36,,,,,,,,,,,,,,,,96
