OPK;OPK-8;2;3.38983%;2;3.38983%
PK;PK-2;23.1667;39.2655%
;PK-8;8.16667;13.8418%
;PK-7;5.5;9.32203%
;PK-3;5;8.47458%
;PK-5;4;6.77966%
;PK-9;3.66667;6.21469%
;PK-1;1.5;2.54237%;51;86.4407%
UK;UK-4;3;5.08475%
;UK-1;2;3.38983%
;UK-7;1;1.69492%;6;10.1695%
