Comp,Weight
OPK;OPK-1;30;13.8249%
;OPK-2;18;8.29493%
;OPK-5;9.5;4.37788%
;OPK-4;6.66667;3.0722%
;OPK-7;5;2.30415%
;OPK-3;5.5;2.53456%
;OPK-9;4;1.84332%
;OPK-8;4.66667;2.15054%
;OPK-6;3.5;1.6129%;86.8333;40.0154%
PK;PK-2;28.1667;12.98%
;PK-5;15.5;7.14286%
;PK-3;11.6667;5.37634%
;PK-8;9.66667;4.45469%
;PK-7;9.5;4.37788%
;PK-9;6.83333;3.149%
;PK-1;6;2.76498%
;PK-6;3.16667;1.45929%
;PK-4;1.5;0.691244%;92;42.3963%
UK;UK-4;13.5;6.2212%
;UK-5;5;2.30415%
;UK-1;4.5;2.07373%
;UK-8;3;1.38249%
;UK-9;2;0.921659%
;UK-7;2;0.921659%
;UK-3;2.83333;1.30568%
;UK-2;2.83333;1.30568%
;UK-6;1;0.460829%
;UK-10;1.5;0.691244%;38.1667;17.5883%
Количество зачётных единиц на все предметы;244
Количество зачётных единиц учтённых предметы;217
Количество дисциплин;50
Количество учтённых дисциплин;46
