,,№,Индекс,Наименование,,Семестр 3,,,,,,,,,,,,,,,,,,,,,,,,,Семестр 4,,,,,,,,,,,,,,,,,,,,,,,,,Итого за курс,,,,,,,,,,,,,,,,,,,,,,,,,Каф.,Наименование кафедры,Семестр,
,,,,,,Контроль,Академических часов,,,,,,,,,,,,,,,,,,,,,,з.е.,Недель,Контроль,Академических часов,,,,,,,,,,,,,,,,,,,,,,з.е.,Недель,Контроль,Академических часов,,,,,,,,,,,,,,,,,,,,,,з.е.,Недель,,,,
,,,,,,,Всего,Кон такт.,Лек,Лек интер,Лек электр,Лек пр. подгот,Лаб,Лаб интер,Лаб электр,Лаб пр. подгот,Пр,Пр интер,Пр электр,Пр пр. подгот,СР,СР интер,СР электр,СР пр. подгот,Контроль,Контроль интер,Контроль электр,Контроль пр. подгот,,,,Всего,Кон такт.,Лек,Лек интер,Лек электр,Лек пр. подгот,Лаб,Лаб интер,Лаб электр,Лаб пр. подгот,Пр,Пр интер,Пр электр,Пр пр. подгот,СР,СР интер,СР электр,СР пр. подгот,Контроль,Контроль интер,Контроль электр,Контроль пр. подгот,,,,Всего,Кон такт.,Лек,Лек интер,Лек электр,Лек пр. подгот,Лаб,Лаб интер,Лаб электр,Лаб пр. подгот,Пр,Пр интер,Пр электр,Пр пр. подгот,СР,СР интер,СР электр,СР пр. подгот,Контроль,Контроль интер,Контроль электр,Контроль пр. подгот,Всего,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,7,Б1.О.07,Основы программирования,,За,180,90,18,,,,,,,,72,,,,90,,,,,,,,5,,Эк,144,54,18,,,,,,,,36,,,,54,,,,36,,,,4,,Эк За,324,144,36,,,,,,,,108,,,,144,,,,36,,,,9,,93,Кафедра информатики (И_ИКИТ),12,6412022
1,,8,Б1.О.08,Алгебра и геометрия,,Эк,180,72,36,,,,,,,,36,,,,72,,,,36,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,Эк,180,72,36,,,,,,,,36,,,,72,,,,36,,,,5,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ),1,6412026
1,,9,Б1.О.09,Математический анализ,,За,180,90,36,,,,,,,,54,,,,90,,,,,,,,5,,Эк,180,90,36,,,,,,,,54,,,,54,,,,36,,,,5,,Эк За,360,180,72,,,,,,,,108,,,,144,,,,36,,,,10,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ),12,6412027
1,,10,Б1.О.10,Дискретная математика,,,,,,,,,,,,,,,,,,,,,,,,,,,Эк,180,72,36,,,,,,,,36,,,,72,,,,36,,,,5,,Эк,180,72,36,,,,,,,,36,,,,72,,,,36,,,,5,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ),2,6412028
1,,11,Б1.О.20,Введение в профессиональную деятельность,,За,144,72,36,,,,,,,,36,,,,72,,,,,,,,4,,Эк,144,36,18,,,,,,,,18,,,,72,,,,36,,,,4,,Эк За,288,108,54,,,,,,,,54,,,,144,,,,36,,,,8,,97,"Кафедра систем автоматики, автоматизированного управления и проектирования (СААУП_ИКИТ)",12,6412040
1,,12,Б1.О.26,Физическая культура и спорт,,За,18,18,6,,,,,,,,12,,,,,,,,,,,,0.5,,За,18,18,4,,,,,,,,14,,,,,,,,,,,,0.5,,За(2),36,36,10,,,,,,,,26,,,,,,,,,,,,1,,346,Кафедра физической культуры (ФК_ИФКСТ),1256,6412065
1,{none},13,Б1.О.27,Прикладная физическая культура и спорт,,За,50,50,,,,,,,,,50,,,,,,,,,,,,,,За,50,50,,,,,,,,,50,,,,,,,,,,,,,,За(2),100,100,,,,,,,,,100,,,,,,,,,,,,,,346,Кафедра физической культуры (ФК_ИФКСТ),123456,6412066
1,,14,Б1.В.13,Теория и практика эффективного речевого общения,,,,,,,,,,,,,,,,,,,,,,,,,,,За,108,54,18,,,,,,,,36,,,,54,,,,,,,,3,,За,108,54,18,,,,,,,,36,,,,54,,,,,,,,3,,388,Кафедра русского языка и  речевой коммуникации (РЯиРК_ИФИЯК),2,6412072
2,,1,Б1.О.01,Философия,,,,,,,,,,,,,,,,,,,,,,,,,,,Эк,144,54,18,,,,,,,,36,,,,54,,,,36,,,,4,,Эк,144,54,18,,,,,,,,36,,,,54,,,,36,,,,4,,11,Кафедра философии (КФ1_ИФФ),4,6412067
2,,2,Б1.О.03,Иностранный язык,,За,72,36,,,,,,,,,36,,,,36,,,,,,,,2,,Эк,108,36,,,,,,,,,36,,,,36,,,,36,,,,3,,Эк За,180,72,,,,,,,,,72,,,,72,,,,36,,,,5,,96,Кафедра разговорного иностранного языка (РИЯ_ИКИТ),1234,6412029
2,,3,Б1.О.04,Безопасность жизнедеятельности,,За,108,54,18,,,,,,,,36,,,,54,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,За,108,54,18,,,,,,,,36,,,,54,,,,,,,,3,,209,Кафедра техносферной и экологической безопасности ,3,6412064
2,,4,Б1.О.05,Физика,,Эк,144,54,18,,,,18,,,,18,,,,54,,,,36,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,Эк,144,54,18,,,,18,,,,18,,,,54,,,,36,,,,4,,141,Кафедра физики  (Ф2_ИФО),23,6412063
2,,5,Б1.О.11,Электротехника и электроника,,Эк,180,90,36,,,,36,,,,18,,,,54,,,,36,,,,5,,Эк,216,72,36,,,,36,,,,,,,,108,,,,36,,,,6,,Эк(2),396,162,72,,,,72,,,,18,,,,162,,,,72,,,,11,,97,"Кафедра систем автоматики, автоматизированного управления и проектирования (СААУП_ИКИТ)",34,6412030
2,,6,Б1.О.12,Теория автоматического управления,,,,,,,,,,,,,,,,,,,,,,,,,,,Эк,216,72,36,,,,36,,,,,,,,108,,,,36,,,,6,,Эк,216,72,36,,,,36,,,,,,,,108,,,,36,,,,6,,97,"Кафедра систем автоматики, автоматизированного управления и проектирования (СААУП_ИКИТ)",45,6412031
2,,7,Б1.О.13,Метрология и измерительная техника автоматизированных систем,,За,108,54,18,,,,,,,,36,,,,54,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,За,108,54,18,,,,,,,,36,,,,54,,,,,,,,3,,97,"Кафедра систем автоматики, автоматизированного управления и проектирования (СААУП_ИКИТ)",3,6412032
2,,8,Б1.О.14,Промышленные сети и интерфейсы,,,,,,,,,,,,,,,,,,,,,,,,,,,За,144,54,18,,,,,,,,36,,,,90,,,,,,,,4,,За,144,54,18,,,,,,,,36,,,,90,,,,,,,,4,,97,"Кафедра систем автоматики, автоматизированного управления и проектирования (СААУП_ИКИТ)",4,6412033
2,,9,Б1.О.21,Технология разработки программного обеспечения,,Эк,180,72,18,,,,,,,,54,,,,72,,,,36,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,Эк,180,72,18,,,,,,,,54,,,,72,,,,36,,,,5,,93,Кафедра информатики (И_ИКИТ),3,6412024
2,,10,Б1.О.23,Инженерная и компьютерная графика,,За,108,54,18,,,,,,,,36,,,,54,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,За,108,54,18,,,,,,,,36,,,,54,,,,,,,,3,,97,"Кафедра систем автоматики, автоматизированного управления и проектирования (СААУП_ИКИТ)",3,6412037
2,,11,Б1.О.24,Методы оптимизации,,,,,,,,,,,,,,,,,,,,,,,,,,,За,108,54,18,,,,,,,,36,,,,54,,,,,,,,3,,За,108,54,18,,,,,,,,36,,,,54,,,,,,,,3,,97,"Кафедра систем автоматики, автоматизированного управления и проектирования (СААУП_ИКИТ)",4,6412045
2,{none},12,Б1.О.27,Прикладная физическая культура и спорт,,За,68,68,,,,,,,,,68,,,,,,,,,,,,,,За,68,68,,,,,,,,,68,,,,,,,,,,,,,,За(2),136,136,,,,,,,,,136,,,,,,,,,,,,,,346,Кафедра физической культуры (ФК_ИФКСТ),123456,6412066
2,,13,Б1.В.03,Управление данными в производственных системах,,,,,,,,,,,,,,,,,,,,,,,,,,,За,108,54,18,,,,,,,,36,,,,54,,,,,,,,3,,За,108,54,18,,,,,,,,36,,,,54,,,,,,,,3,,97,"Кафедра систем автоматики, автоматизированного управления и проектирования (СААУП_ИКИТ)",4,6412043
2,,14,Б1.В.07,Основы теории систем,,За,108,54,18,,,,,,,,36,,,,54,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,За,108,54,18,,,,,,,,36,,,,54,,,,,,,,3,,97,"Кафедра систем автоматики, автоматизированного управления и проектирования (СААУП_ИКИТ)",3,6412048
3,,,Б1.О.12,Теория автоматического управления,,За КР,144,72,36,,,,36,,,,,,,,72,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,За КР,144,72,36,,,,36,,,,,,,,72,,,,,,,,4,,97,"Кафедра систем автоматики, автоматизированного управления и проектирования (СААУП_ИКИТ)",45,6412031
3,,,Б1.О.15,Моделирование систем,,Эк,216,72,36,,,,,,,,36,,,,108,,,,36,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,Эк,216,72,36,,,,,,,,36,,,,108,,,,36,,,,6,,97,"Кафедра систем автоматики, автоматизированного управления и проектирования (СААУП_ИКИТ)",5,6412034
3,,,Б1.О.16,Исполнительные устройства автоматики,,,,,,,,,,,,,,,,,,,,,,,,,,,Эк,180,54,18,,,,,,,,36,,,,90,,,,36,,,,5,,Эк,180,54,18,,,,,,,,36,,,,90,,,,36,,,,5,,97,"Кафедра систем автоматики, автоматизированного управления и проектирования (СААУП_ИКИТ)",6,6412035
3,,,Б1.О.17,Системы управления жизненным циклом продукции,,Эк,180,72,36,,,,,,,,36,,,,72,,,,36,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,Эк,180,72,36,,,,,,,,36,,,,72,,,,36,,,,5,,97,"Кафедра систем автоматики, автоматизированного управления и проектирования (СААУП_ИКИТ)",5,6412036
3,,,Б1.О.18,Элементы и устройства автоматики,,За,144,72,36,,,,,,,,36,,,,72,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,За,144,72,36,,,,,,,,36,,,,72,,,,,,,,4,,97,"Кафедра систем автоматики, автоматизированного управления и проектирования (СААУП_ИКИТ)",5,6412038
3,,,Б1.О.22,Надежность систем управления,,,,,,,,,,,,,,,,,,,,,,,,,,,Эк,216,72,36,,,,36,,,,,,,,108,,,,36,,,,6,,Эк,216,72,36,,,,36,,,,,,,,108,,,,36,,,,6,,97,"Кафедра систем автоматики, автоматизированного управления и проектирования (СААУП_ИКИТ)",6,6412049
3,,,Б1.О.25,Экономика и управление производством,,,,,,,,,,,,,,,,,,,,,,,,,,,За,108,54,18,,,,,,,,36,,,,54,,,,,,,,3,,За,108,54,18,,,,,,,,36,,,,54,,,,,,,,3,,97,"Кафедра систем автоматики, автоматизированного управления и проектирования (СААУП_ИКИТ)",6,6412062
3,,,Б1.О.26,Физическая культура и спорт,,За,18,18,4,,,,,,,,14,,,,,,,,,,,,0.5,,За,18,18,4,,,,,,,,14,,,,,,,,,,,,0.5,,За(2),36,36,8,,,,,,,,28,,,,,,,,,,,,1,,346,Кафедра физической культуры (ФК_ИФКСТ),1256,6412065
3,{none},,Б1.О.27,Прикладная физическая культура и спорт,,За,46,46,,,,,,,,,46,,,,,,,,,,,,,,За,46,46,,,,,,,,,46,,,,,,,,,,,,,,За(2),92,92,,,,,,,,,92,,,,,,,,,,,,,,346,Кафедра физической культуры (ФК_ИФКСТ),123456,6412066
3,,,Б1.В.04,Программируемые логические контроллеры,,,,,,,,,,,,,,,,,,,,,,,,,,,За,108,54,18,,,,36,,,,,,,,54,,,,,,,,3,,За,108,54,18,,,,36,,,,,,,,54,,,,,,,,3,,97,"Кафедра систем автоматики, автоматизированного управления и проектирования (СААУП_ИКИТ)",6,6412044
3,,,Б1.В.10,Электронные устройства автоматики,,За,144,54,18,,,,,,,,36,,,,90,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,За,144,54,18,,,,,,,,36,,,,90,,,,,,,,4,,97,"Кафедра систем автоматики, автоматизированного управления и проектирования (СААУП_ИКИТ)",5,6412039
3,,,Б1.В.11,Программное обеспечение систем управления,,Эк,180,72,18,,,,,,,,54,,,,72,,,,36,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,Эк,180,72,18,,,,,,,,54,,,,72,,,,36,,,,5,,97,"Кафедра систем автоматики, автоматизированного управления и проектирования (СААУП_ИКИТ)",5,6412055
3,,,Б1.В.12,Цифровые системы управления,,,,,,,,,,,,,,,,,,,,,,,,,,,Эк,180,72,18,,,,,,,,54,,,,72,,,,36,,,,5,,Эк,180,72,18,,,,,,,,54,,,,72,,,,36,,,,5,,97,"Кафедра систем автоматики, автоматизированного управления и проектирования (СААУП_ИКИТ)",6,6412056
3,,,Б1.В.ДВ.02.01,Оптимальные и адаптивные системы,,,,,,,,,,,,,,,,,,,,,,,,,,,За,108,54,18,,,,,,,,36,,,,54,,,,,,,,3,,За,108,54,18,,,,,,,,36,,,,54,,,,,,,,3,,97,"Кафедра систем автоматики, автоматизированного управления и проектирования (СААУП_ИКИТ)",6,6412053
3,{none},,Б1.В.ДВ.02.02,Адаптивное управление,,,,,,,,,,,,,,,,,,,,,,,,,,,За,108,54,18,,,,,,,,36,,,,54,,,,,,,,3,,За,108,54,18,,,,,,,,36,,,,54,,,,,,,,3,,97,"Кафедра систем автоматики, автоматизированного управления и проектирования (СААУП_ИКИТ)",6,6412054
3,{none},,ФТД.01,Теория поиска инновационных решений,,За,72,36,18,,,,,,,,18,,,,36,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,За,72,36,18,,,,,,,,18,,,,36,,,,,,,,2,,97,"Кафедра систем автоматики, автоматизированного управления и проектирования (СААУП_ИКИТ)",5,6412057
3,{none},,ФТД.02,Алгоритмы и структуры данных,,За,72,36,18,,,,,,,,18,,,,36,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,За,72,36,18,,,,,,,,18,,,,36,,,,,,,,2,,93,Кафедра информатики (И_ИКИТ),5,6412025
