,ИД-3УК-6,,,"использует основные возможности и инструменты непрерывного образования (образования в течение всей жизни) для реализации собственных потребностей с учетом личностных возможностей, временной перспективы развития деятельности и требований рынка труда",-
,,Б1.О.20,,Введение в профессиональную деятельность,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
УК-7,,,,Способен поддерживать должный уровень физической подготовленности для обеспечения полноценной социальной и профессиональной деятельности,УК
,ИД-1УК-7,,,"понимает роль физической культуры и спорта в жизни человека, подготовке его к соци-альной и профессиональной деятельности",-
,,Б1.О.26,,Физическая культура и спорт,
,,Б1.О.27,,Прикладная физическая культура и спорт,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
,ИД-2УК-7,,,планирует оптимальный двигательный режим с учетом условий будущей профессиональной деятельности,-
,,Б1.О.26,,Физическая культура и спорт,
,,Б1.О.27,,Прикладная физическая культура и спорт,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
,ИД-3УК-7,,,соблюдает и пропагандирует нормы здорового образа жизни в различных жизненных ситуациях и в профессиональной деятельности,-
,,Б1.О.26,,Физическая культура и спорт,
,,Б1.О.27,,Прикладная физическая культура и спорт,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
УК-8,,,,"Способен создавать и поддерживать в повседневной жизни и в профессиональной деятельности безопасные условия жизнедеятельности для сохранения природной среды, обеспечения устойчивого развития общества, в том числе при угрозе и возникновении чрезвычайных ситуаций и военных конфликтов",УК
,ИД-1УК-8,,,"анализирует факторы вредного влияния на жизнедеятельность элементов среды обитания (технических средств, технологических процессов, природных и социальных явлений)",-
,,Б1.О.04,,Безопасность жизнедеятельности,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
,ИД-2УК-8,,,"выявляет проблемы, связанные с нарушениями техники безопасности на рабочем месте; предлагает мероприятия по предотвращению чрезвычайных ситуаций",-
,,Б1.О.04,,Безопасность жизнедеятельности,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
,ИД-3УК-8,,,разъясняет правила поведения при возникновении чрезвычайных ситуаций природного и техногенного происхождения; оказывает первую помощь,-
,,Б1.О.04,,Безопасность жизнедеятельности,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
УК-9,,,,Способен использовать базовые дефектологические знания в социальной и профессиональной сферах,УК
,ИД-1УК-9,,,обладает базовыми дефектологическими знаниями,-
,,Б1.О.20,,Введение в профессиональную деятельность,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
,ИД-2УК-9,,,владеет навыками взаимодействия в социальной и профессиональной сферах с лицами с ограниченными возможностями,-
,,Б1.О.20,,Введение в профессиональную деятельность,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
,ИД-3УК-9,,,,-
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
УК-10,,,,Способен принимать обоснованные экономические решения в различных областях жизнедеятельности,УК
,ИД-1УК-10,,,"понимает базовые принципы и закономерности функционирования экономики и экономического развития, необ-ходимые для решения профессиональных и социальных задач",-
,,Б1.О.25,,Экономика и управление производством,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
,ИД-2УК-10,,,принимает обоснованные эко-номические решения в различных областях жизнедеятельности,-
,,Б1.О.25,,Экономика и управление производством,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
,ИД-3УК-10,,,"производит расчеты экономических затрат на продукцию, выпускаемую промышленным предприятием",-
,,Б1.О.25,,Экономика и управление производством,
,,Б1.В.08,,Организация и планирование производств,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
,ИД-4УК-10,,,участвует в составлении графиков работы сотрудников в структурных подразделениях промышленного предприятия и организовывает их взаимодействие,-
,,Б1.О.25,,Экономика и управление производством,
,,Б1.В.08,,Организация и планирование производств,
