Comp,Weight
OPK;OPK-1;39.75;18.0682%
;OPK-8;13.75;6.25%
;OPK-7;9;4.09091%
;OPK-3;5;2.27273%
;OPK-2;5;2.27273%
;OPK-4;3;1.36364%
;OPK-6;2;0.909091%
;OPK-5;2.5;1.13636%
;OPK-9;1;0.454545%;81;36.8182%
PK;PK-4;21.6667;9.84848%
;PK-3;20.6667;9.39394%
;PK-1;18.5;8.40909%
;PK-2;6.66667;3.0303%;67.5;30.6818%
UK;UK-1;26.5833;12.0833%
;UK-4;15.5;7.04545%
;UK-2;9.25;4.20455%
;UK-5;7.33333;3.33333%
;UK-9;3;1.36364%
;UK-8;3;1.36364%
;UK-7;2;0.909091%
;UK-10;2;0.909091%
;UK-6;1.33333;0.606061%
;UK-3;1.5;0.681818%;71.5;32.5%
Количество зачётных единиц на все предметы;244
Количество зачётных единиц учтённых предметы;220
Количество дисциплин;55
Количество учтённых дисциплин;52
