Source,Target,Type,Kind,Id,Label,timeset,Weight
86,85,Undirected,,,,,4.262295
128,127,Undirected,,,,,2.397541
129,128,Undirected,,,,,2.397541
130,129,Undirected,,,,,2.397541
212,211,Undirected,,,,,5.327869
232,231,Undirected,,,,,1.065574
287,286,Undirected,,,,,4.262295
366,365,Undirected,,,,,4.795082
450,449,Undirected,,,,,0.000000
451,450,Undirected,,,,,0.000000
452,451,Undirected,,,,,0.000000
453,452,Undirected,,,,,0.000000
454,453,Undirected,,,,,0.000000
482,481,Undirected,,,,,1.598361
512,511,Undirected,,,,,3.729508
554,553,Undirected,,,,,3.729508
619,618,Undirected,,,,,4.262295
632,631,Undirected,,,,,0.532787
636,635,Undirected,,,,,0.532787
718,717,Undirected,,,,,3.729508
15,155,Undirected,,,,,9.590164
15,211,Undirected,,,,,10.655738
155,15,Undirected,,,,,9.590164
155,211,Undirected,,,,,9.590164
155,365,Undirected,,,,,9.057377
211,15,Undirected,,,,,10.655738
211,155,Undirected,,,,,9.590164
365,155,Undirected,,,,,9.057377
449,631,Undirected,,,,,0.532787
631,449,Undirected,,,,,0.532787
100,212,Undirected,,,,,10.655738
100,618,Undirected,,,,,9.590164
128,576,Undirected,,,,,5.594262
212,100,Undirected,,,,,10.655738
212,618,Undirected,,,,,9.590164
296,366,Undirected,,,,,7.991803
366,296,Undirected,,,,,7.991803
450,632,Undirected,,,,,0.532787
576,128,Undirected,,,,,5.594262
618,100,Undirected,,,,,9.590164
618,212,Undirected,,,,,9.590164
632,450,Undirected,,,,,0.532787
31,241,Undirected,,,,,6.393443
31,381,Undirected,,,,,7.459016
241,31,Undirected,,,,,6.393443
241,381,Undirected,,,,,5.327869
353,381,Undirected,,,,,6.393443
381,31,Undirected,,,,,7.459016
381,241,Undirected,,,,,5.327869
381,353,Undirected,,,,,6.393443
591,619,Undirected,,,,,7.459016
591,717,Undirected,,,,,6.926230
619,591,Undirected,,,,,7.459016
619,717,Undirected,,,,,7.991803
717,591,Undirected,,,,,6.926230
717,619,Undirected,,,,,7.991803
46,438,Undirected,,,,,8.524590
46,648,Undirected,,,,,7.459016
46,704,Undirected,,,,,6.393443
46,718,Undirected,,,,,6.926230
438,46,Undirected,,,,,8.524590
438,494,Undirected,,,,,8.524590
438,648,Undirected,,,,,9.590164
438,704,Undirected,,,,,8.524590
494,438,Undirected,,,,,8.524590
648,46,Undirected,,,,,7.459016
648,438,Undirected,,,,,9.590164
648,704,Undirected,,,,,7.459016
704,46,Undirected,,,,,6.393443
704,438,Undirected,,,,,8.524590
704,648,Undirected,,,,,7.459016
718,46,Undirected,,,,,6.926230
117,257,Undirected,,,,,6.393443
117,537,Undirected,,,,,8.524590
117,607,Undirected,,,,,8.524590
257,117,Undirected,,,,,6.393443
257,425,Undirected,,,,,6.393443
257,607,Undirected,,,,,8.524590
425,257,Undirected,,,,,6.393443
425,565,Undirected,,,,,8.524590
453,635,Undirected,,,,,0.532787
537,117,Undirected,,,,,8.524590
565,425,Undirected,,,,,8.524590
607,117,Undirected,,,,,8.524590
607,257,Undirected,,,,,8.524590
635,453,Undirected,,,,,0.532787
286,328,Undirected,,,,,7.459016
328,286,Undirected,,,,,7.459016
342,482,Undirected,,,,,3.729508
454,636,Undirected,,,,,0.532787
482,342,Undirected,,,,,3.729508
524,678,Undirected,,,,,12.786885
636,454,Undirected,,,,,0.532787
678,524,Undirected,,,,,12.786885
231,273,Undirected,,,,,8.524590
231,469,Undirected,,,,,5.327869
231,511,Undirected,,,,,4.795082
231,553,Undirected,,,,,4.795082
231,665,Undirected,,,,,6.393443
273,231,Undirected,,,,,8.524590
273,511,Undirected,,,,,6.926230
273,553,Undirected,,,,,6.926230
273,665,Undirected,,,,,8.524590
287,469,Undirected,,,,,8.524590
287,553,Undirected,,,,,7.991803
469,231,Undirected,,,,,5.327869
469,287,Undirected,,,,,8.524590
469,553,Undirected,,,,,7.991803
511,231,Undirected,,,,,4.795082
511,273,Undirected,,,,,6.926230
553,231,Undirected,,,,,4.795082
553,273,Undirected,,,,,6.926230
553,287,Undirected,,,,,7.991803
553,469,Undirected,,,,,7.991803
553,665,Undirected,,,,,9.057377
665,231,Undirected,,,,,6.393443
665,273,Undirected,,,,,8.524590
665,553,Undirected,,,,,9.057377
8,554,Undirected,,,,,6.926230
78,232,Undirected,,,,,4.262295
78,512,Undirected,,,,,6.926230
232,78,Undirected,,,,,4.262295
232,512,Undirected,,,,,4.795082
232,554,Undirected,,,,,4.795082
512,78,Undirected,,,,,6.926230
512,232,Undirected,,,,,4.795082
554,8,Undirected,,,,,6.926230
554,232,Undirected,,,,,4.795082
