-,-,-,Форма контроля,,,,з.е.,,Итого акад.часов,,,,,,,Курс 1,,Курс 2,,Курс 3,,Курс 4,,Закрепленная кафедра,
,,,,,,,,,,,,,,,,Семестр 1,Семестр 2,Семестр 3,Семестр 4,Семестр 5,Семестр 6,Семестр 7,Семестр 8,,
Считать в плане,Индекс,Наименование,Экза мен,Зачет,Зачет с оц.,КР,Экспер тное,Факт,Экспер тное,По плану,Конт. раб.,Ауд.,СР,Конт роль,Пр. подгот,з.е.,з.е.,з.е.,з.е.,з.е.,з.е.,з.е.,з.е.,Код,Наименование
+,Б1.О.17,Защита информации от утечки по техническим каналам,6,,,,4,4,144,144,72,72,36,36,,,,,,,4,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.18,Методы и средства криптографической защиты информации,6,,,,4,4,144,144,72,72,36,36,,,,,,,4,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.19,Алгебра,2,1,,,7,7,252,252,126,126,90,36,,3,4,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.20,Аналитическая геометрия,1,,,,5,5,180,180,72,72,72,36,,5,,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.21,Математический анализ,2,1,,,10,10,360,360,180,180,144,36,,5,5,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.22,Дискретная математика,2,,,,5,5,180,180,72,72,72,36,,,5,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.23,Математическая логика и теория алгоритмов,,3,,3,3,3,108,108,54,54,54,,,,,3,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.24,Теория вероятностей и математическая статистика,,4,,,3,3,108,108,72,72,36,,,,,,3,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.25,Физика,3,2,,,8,8,288,288,126,126,126,36,,,4,4,,,,,,141,Кафедра физики  (Ф2_ИФО)
+,Б1.О.26,Электроника и схемотехника,5,4,,,10,10,360,360,144,144,180,36,,,,,4,6,,,,97,"Кафедра систем автоматики, автоматизированного управления и проектирования (СААУП_ИКИТ)"
+,Б1.О.27,Информатика,1,,,,4,4,144,144,54,54,54,36,,4,,,,,,,,93,Кафедра информатики (И_ИКИТ)
+,Б1.О.28,Аппаратные средства вычислительной техники,,3,,,3,3,108,108,54,54,54,,,,,3,,,,,,92,Кафедра вычислительной техники (ВТ_ИКИТ)
+,Б1.О.29,Операционные системы,3,,,,4,4,144,144,72,72,36,36,,,,4,,,,,,92,Кафедра вычислительной техники (ВТ_ИКИТ)
+,Б1.О.30,Компьютерные сети,5,,,,5,5,180,180,72,72,72,36,,,,,,5,,,,92,Кафедра вычислительной техники (ВТ_ИКИТ)
+,Б1.О.31,Языки программирования,2,1,,,8,8,288,288,126,126,126,36,,4,4,,,,,,,93,Кафедра информатики (И_ИКИТ)
+,Б1.О.32,Языки программирования. Дополнительные разделы,4,3,,,8,8,288,288,144,144,108,36,,,,3.5,4.5,,,,,92,Кафедра вычислительной техники (ВТ_ИКИТ)
+,Б1.О.33,Технологии и методы программирования,,6,,,3,3,108,108,54,54,54,,,,,,,,3,,,92,Кафедра вычислительной техники (ВТ_ИКИТ)
