-,-,-,Форма контроля,,,,з.е.,-,Итого акад.часов,,,,,,Курс 1,,,,,,,,,,,,,,Курс 2,,,,,,,,,,,,,,Курс 3,,,,,,,,,,,,,,Курс 4,,,,,,,,,,,,,,Закрепленная кафедра,
,,,,,,,,,,,,,,,Семестр 1,,,,,,,Семестр 2,,,,,,,Семестр 3,,,,,,,Семестр 4,,,,,,,Семестр 5,,,,,,,Семестр 6,,,,,,,Семестр 7,,,,,,,Семестр 8,,,,,,,,
Считать в плане,Индекс,Наименование,Экза мен,Зачет,Зачет с оц.,КР,Факт,Часов в з.е.,Экспер тное,По плану,Конт. раб.,Ауд.,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,Код,Наименование
+,Б1.О.17,Защита информации от утечки по техническим каналам,6,,,,4,36,144,144,72,72,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,36,18,18,36,36,,,,,,,,,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.18,Методы и средства криптографической защиты информации,6,,,,4,36,144,144,72,72,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,36,36,,36,36,,,,,,,,,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.19,Алгебра,2,1,,,7,36,252,252,126,126,90,36,3,108,36,,36,36,,4,144,36,,18,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.20,Аналитическая геометрия,1,,,,5,36,180,180,72,72,72,36,5,180,36,,36,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.21,Математический анализ,2,1,,,10,36,360,360,180,180,144,36,5,180,36,,54,90,,5,180,36,,54,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.22,Дискретная математика,2,,,,5,36,180,180,72,72,72,36,,,,,,,,5,180,36,,36,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.23,Математическая логика и теория алгоритмов,,3,,3,3,36,108,108,54,54,54,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.24,Теория вероятностей и математическая статистика,,4,,,3,36,108,108,72,72,36,,,,,,,,,,,,,,,,,,,,,,,3,108,36,,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.25,Физика,3,2,,,8,36,288,288,126,126,126,36,,,,,,,,4,144,36,18,18,72,,4,144,18,18,18,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,Кафедра физики  (Ф2_ИФО)
+,Б1.О.26,Электроника и схемотехника,5,4,,,10,36,360,360,144,144,180,36,,,,,,,,,,,,,,,,,,,,,,4,144,36,18,18,72,,6,216,36,18,18,108,36,,,,,,,,,,,,,,,,,,,,,,97,"Кафедра систем автоматики, автоматизированного управления и проектирования (СААУП_ИКИТ)"
