Source,Target,Type,Kind,Id,Label,timeset,Weight
34,33,Undirected,,,,,1.858108
86,85,Undirected,,,,,5.574324
128,127,Undirected,,,,,2.787162
129,128,Undirected,,,,,2.787162
130,129,Undirected,,,,,2.787162
242,241,Undirected,,,,,4.335586
268,267,Undirected,,,,,6.193694
301,300,Undirected,,,,,4.954955
394,393,Undirected,,,,,5.574324
436,435,Undirected,,,,,0.000000
437,436,Undirected,,,,,0.000000
438,437,Undirected,,,,,0.000000
439,438,Undirected,,,,,0.000000
440,439,Undirected,,,,,0.000000
484,483,Undirected,,,,,4.335586
730,729,Undirected,,,,,0.619369
734,733,Undirected,,,,,0.619369
1,267,Undirected,,,,,12.387387
267,1,Undirected,,,,,12.387387
435,729,Undirected,,,,,0.619369
729,435,Undirected,,,,,0.619369
114,268,Undirected,,,,,12.387387
114,716,Undirected,,,,,9.909910
128,590,Undirected,,,,,6.503378
268,114,Undirected,,,,,12.387387
268,716,Undirected,,,,,9.909910
436,730,Undirected,,,,,0.619369
590,128,Undirected,,,,,6.503378
716,114,Undirected,,,,,9.909910
716,268,Undirected,,,,,9.909910
730,436,Undirected,,,,,0.619369
45,213,Undirected,,,,,8.671171
213,45,Undirected,,,,,8.671171
241,563,Undirected,,,,,9.290541
563,241,Undirected,,,,,9.290541
326,606,Undirected,,,,,8.671171
326,746,Undirected,,,,,8.671171
494,704,Undirected,,,,,7.432432
606,326,Undirected,,,,,8.671171
606,746,Undirected,,,,,9.909910
704,494,Undirected,,,,,7.432432
746,326,Undirected,,,,,8.671171
746,606,Undirected,,,,,9.909910
257,341,Undirected,,,,,9.909910
257,425,Undirected,,,,,12.387387
257,523,Undirected,,,,,8.671171
341,257,Undirected,,,,,9.909910
341,425,Undirected,,,,,19.819820
341,523,Undirected,,,,,6.193694
425,257,Undirected,,,,,12.387387
425,341,Undirected,,,,,19.819820
425,523,Undirected,,,,,8.671171
439,733,Undirected,,,,,0.619369
523,257,Undirected,,,,,8.671171
523,341,Undirected,,,,,6.193694
523,425,Undirected,,,,,8.671171
733,439,Undirected,,,,,0.619369
146,160,Undirected,,,,,9.909910
146,356,Undirected,,,,,9.909910
146,650,Undirected,,,,,13.626126
160,146,Undirected,,,,,9.909910
160,356,Undirected,,,,,7.432432
160,650,Undirected,,,,,11.148649
356,146,Undirected,,,,,9.909910
356,160,Undirected,,,,,7.432432
356,650,Undirected,,,,,11.148649
440,734,Undirected,,,,,0.619369
650,146,Undirected,,,,,13.626126
650,160,Undirected,,,,,11.148649
650,356,Undirected,,,,,11.148649
734,440,Undirected,,,,,0.619369
105,203,Undirected,,,,,8.671171
105,315,Undirected,,,,,8.671171
105,483,Undirected,,,,,8.051802
105,679,Undirected,,,,,7.432432
203,105,Undirected,,,,,8.671171
203,315,Undirected,,,,,9.909910
203,483,Undirected,,,,,9.290541
203,679,Undirected,,,,,8.671171
315,105,Undirected,,,,,8.671171
315,203,Undirected,,,,,9.909910
315,483,Undirected,,,,,9.290541
315,679,Undirected,,,,,8.671171
483,105,Undirected,,,,,8.051802
483,203,Undirected,,,,,9.290541
483,315,Undirected,,,,,9.290541
483,679,Undirected,,,,,8.051802
679,105,Undirected,,,,,7.432432
679,203,Undirected,,,,,8.671171
679,315,Undirected,,,,,8.671171
679,483,Undirected,,,,,8.051802
78,484,Undirected,,,,,8.051802
484,78,Undirected,,,,,8.051802
