Comp,Weight
OPK;OPK-1;29.5;13.2883%
;OPK-6;10.5;4.72973%
;OPK-4;9.5;4.27928%
;OPK-2;7;3.15315%
;OPK-5;4;1.8018%
;OPK-3;3;1.35135%
;OPK-8;1.5;0.675676%;65;29.2793%
PK;PK-1;52;23.4234%
;PK-2;18;8.10811%
;PK-3;14.5;6.53153%
;PK-5;9.5;4.27928%
;PK-6;3.5;1.57658%
;PK-4;3.5;1.57658%
;PK-7;2.5;1.12613%
;PK-10;2;0.900901%
;PK-9;1.5;0.675676%
;PK-8;1.5;0.675676%;108.5;48.8739%
UK;UK-4;13.5;6.08108%
;UK-1;10.8333;4.87988%
;UK-2;6;2.7027%
;UK-5;5.33333;2.4024%
;UK-9;3;1.35135%
;UK-8;3;1.35135%
;UK-7;2;0.900901%
;UK-10;2;0.900901%
;UK-6;1.33333;0.600601%
;UK-3;1.5;0.675676%;48.5;21.8468%
Количество зачётных единиц на все предметы;246
Количество зачётных единиц учтённых предметы;222
Количество дисциплин;58
Количество учтённых дисциплин;55
