-,-,-,Форма контроля,,,,з.е.,,-,Итого акад.часов,,,,,,Курс 1,,,,,,,,,,,,,,Курс 2,,,,,,,,,,,,,,Курс 3,,,,,,,,,,,,,,Курс 4,,,,,,,,,,,,,,Закрепленная кафедра
,,,,,,,,,,,,,,,,Семестр 1,,,,,,,Семестр 2,,,,,,,Семестр 3,,,,,,,Семестр 4,,,,,,,Семестр 5,,,,,,,Семестр 6,,,,,,,Семестр 7,,,,,,,Семестр 8,,,,,,,
Считать в плане,Индекс,Наименование,Экза мен,Зачет,Зачет с оц.,КР,Экспер тное,Факт,Часов в з.е.,Экспер тное,По плану,Ауд.,СР,Конт роль,Элект часы,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,Код
+,Б1.В.02.ДВ.02,Дисциплины по выбору,6,,,6,4,4,,144,144,72,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,36,,36,36,36,,,,,,,,,,,,,,,
+,Б1.В.02.ДВ.02.01,Социальная психология,6,,,6,4,4,36,144,144,72,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,36,,36,36,36,,,,,,,,,,,,,,,404
-,Б1.В.02.ДВ.02.02,Психология личности,6,,,6,4,4,36,144,144,72,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,36,,36,36,36,,,,,,,,,,,,,,,404
Блок 2.Практика ,,,,,,,20,20,,720,720,,720,,,,,,,,,,3,108,,,,108,,,,,,,,,3,108,,,,108,,,,,,,,,4,144,,,,144,,,,,,,,,10,360,,,,360,,
Обязательная часть ,,,,,,,6,6,,216,216,,216,,,,,,,,,,3,108,,,,108,,,,,,,,,3,108,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,Б2.О.01(У),Ознакомительная практика,,,2,,3,3,36,108,108,,108,,,,,,,,,,3,108,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404
+,Б2.О.02(У),Технологическая (проектно-технологическая) практика,,,4,,3,3,36,108,108,,108,,,,,,,,,,,,,,,,,,,,,,,,3,108,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404
"Часть, формируемая участниками образовательных отношений ",,,,,,,14,14,,504,504,,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,,,,144,,,,,,,,,10,360,,,,360,,
+,Б2.В.01(П),Технологическая (проектно-технологическая) практика,,,6,,4,4,36,144,144,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,,,,144,,,,,,,,,,,,,,,,404
+,Б2.В.02(Пд),Преддипломная практика,,,8,,10,10,36,360,360,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,360,,,,360,,404
Блок 3.Государственная итоговая аттестация ,,,,,,,9,9,,324,324,14,274,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,324,14,,,274,36,
+,Б3.01,Подготовка к сдаче и сдача государственного экзамена,8,,,,3,3,36,108,108,14,58,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,14,,,58,36,404
+,Б3.02,выполнение и защита выпускной квалификационной работы,,,,,6,6,36,216,216,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,216,,,,216,,404
ФТД.Факультативные дисциплины ,,,,,,,4,4,,144,144,72,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,18,,54,72,,,,,,,,,,,,,,,,
+,ФТД.01,Тайм-менеджмент,,6,,,2,2,36,72,72,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,72,18,,18,36,,,,,,,,,,,,,,,,404
+,ФТД.02,Деловая коммуникация,,6,,,2,2,36,72,72,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,72,,,36,36,,,,,,,,,,,,,,,,404
