OPK;OPK-1.4;7.88095;17.9113%
;OPK-9;4;9.09091%
;OPK-2;3;6.81818%
;OPK-1.2;3.21429;7.30519%
;OPK-8;2.71429;6.16883%
;OPK-5;2.71429;6.16883%
;OPK-10;2.83333;6.43939%
;OPK-1.3;2.21429;5.03247%
;OPK-6;1.33333;3.0303%
;OPK-12;1.33333;3.0303%
;OPK-11;1.54762;3.51732%
;OPK-1.1;1.71429;3.8961%
;OPK-1;0.214286;0.487013%;34.7143;78.8961%
PK;PK-5;0.5;1.13636%
;PK-4;0.5;1.13636%
;PK-3;0.714286;1.62338%
;PK-1;0.714286;1.62338%;2.42857;5.51948%
UK;UK-1;4.21429;9.57792%
;UK-3;1;2.27273%
;UK-2;1.21429;2.75974%
;UK-6;0.214286;0.487013%
;UK-4;0.214286;0.487013%;6.85714;15.5844%
