Вид,,,Курс,Сем,Каф.,Студ.,Замечания
Дисциплины (модули) по выбору 6 (ДВ.6) ,,,,,,,
,Командный проект индустриальной разработки программного продукта ,,,,,,
,,КП,3,2,389,0,
,Командный проект по разработке программного обеспечения ,,,,,,
,,КП,3,2,93,0,
Дисциплины (модули) по выбору 7 (ДВ.7) ,,,,,,,
,Бакалаврский семинар ,,,,,,
,,КП,4,2,93,0,
,Командный курсовой проект ,,,,,,
,,КП,4,2,389,0,
