ной,ной-1,6,13.0435%
,ной-3,2,4.34783%
,ной-2,2,4.34783%,10,21.7391%
ой,ой-2,10.5,22.8261%
,ой-1,8,17.3913%
,ой-3,6.5,14.1304%
,ой-4,5,10.8696%,30,65.2174%
сй,сй-10,2,4.34783%
,сй-1,2,4.34783%
,сй-9,1,2.17391%
,сй-2,1,2.17391%,6,13.0435%
