ной,ной-1,38,36.8932%
,ной-4,10,9.70874%
,ной-2,1.5,1.45631%,49.5,48.0583%
сй,сй-4,10.5,10.1942%
,сй-5,4,3.8835%
,сй-7,2,1.94175%
,сй-3,1.5,1.45631%
,сй-2,1.5,1.45631%,19.5,18.932%
