ной,ной-1,33,38.8235%
,ной-4,5,5.88235%
,ной-2,3,3.52941%,41,48.2353%
ой,ой-1,6.5,7.64706%
,ой-2,2,2.35294%
,ой-3,1.5,1.76471%,10,11.7647%
сй,сй-4,9,10.5882%
,сй-8,3,3.52941%
,сй-6,1.33333,1.56863%
,сй-5,1.33333,1.56863%
,сй-1,1.33333,1.56863%
,сй-7,0,0%,16,18.8235%
