Source,Target,Type,Kind,Id,Label,timeset,Weight
32,31,Undirected,,,,,4.537815
100,99,Undirected,,,,,4.033613
142,141,Undirected,,,,,2.268908
143,142,Undirected,,,,,2.268908
144,143,Undirected,,,,,2.268908
202,201,Undirected,,,,,5.714286
203,202,Undirected,,,,,5.714286
226,225,Undirected,,,,,5.042017
326,325,Undirected,,,,,4.033613
352,351,Undirected,,,,,4.537815
408,407,Undirected,,,,,0.000000
409,408,Undirected,,,,,0.000000
410,409,Undirected,,,,,0.000000
411,410,Undirected,,,,,0.000000
412,411,Undirected,,,,,0.000000
440,439,Undirected,,,,,1.512605
619,618,Undirected,,,,,4.033613
632,631,Undirected,,,,,0.504202
636,635,Undirected,,,,,0.504202
15,225,Undirected,,,,,10.084034
225,15,Undirected,,,,,10.084034
407,631,Undirected,,,,,0.504202
631,407,Undirected,,,,,0.504202
114,226,Undirected,,,,,10.084034
114,618,Undirected,,,,,9.075630
142,562,Undirected,,,,,5.294118
226,114,Undirected,,,,,10.084034
226,618,Undirected,,,,,9.075630
338,604,Undirected,,,,,6.050420
408,632,Undirected,,,,,0.504202
562,142,Undirected,,,,,5.294118
604,338,Undirected,,,,,6.050420
618,114,Undirected,,,,,9.075630
618,226,Undirected,,,,,9.075630
632,408,Undirected,,,,,0.504202
213,535,Undirected,,,,,8.067227
213,619,Undirected,,,,,7.058824
535,213,Undirected,,,,,8.067227
535,619,Undirected,,,,,9.075630
619,213,Undirected,,,,,7.058824
619,535,Undirected,,,,,9.075630
32,508,Undirected,,,,,7.563025
256,648,Undirected,,,,,7.058824
326,452,Undirected,,,,,7.058824
452,326,Undirected,,,,,7.058824
508,32,Undirected,,,,,7.563025
648,256,Undirected,,,,,7.058824
131,201,Undirected,,,,,32.268908
131,551,Undirected,,,,,10.084034
201,131,Undirected,,,,,32.268908
201,271,Undirected,,,,,19.495798
201,551,Undirected,,,,,32.268908
271,201,Undirected,,,,,19.495798
271,551,Undirected,,,,,9.075630
411,635,Undirected,,,,,0.504202
551,131,Undirected,,,,,10.084034
551,201,Undirected,,,,,32.268908
551,271,Undirected,,,,,9.075630
635,411,Undirected,,,,,0.504202
202,314,Undirected,,,,,21.512605
202,426,Undirected,,,,,19.495798
244,398,Undirected,,,,,7.058824
244,496,Undirected,,,,,7.058824
314,202,Undirected,,,,,21.512605
314,426,Undirected,,,,,9.075630
398,244,Undirected,,,,,7.058824
398,496,Undirected,,,,,6.050420
412,636,Undirected,,,,,0.504202
426,202,Undirected,,,,,19.495798
426,314,Undirected,,,,,9.075630
496,244,Undirected,,,,,7.058824
496,398,Undirected,,,,,6.050420
636,412,Undirected,,,,,0.504202
203,287,Undirected,,,,,25.546218
203,581,Undirected,,,,,10.756303
287,203,Undirected,,,,,25.546218
581,203,Undirected,,,,,10.756303
