Comp,Weight
OPK;OPK-1;35;14.7059%
;OPK-6;31;13.0252%
;OPK-3;21;8.82353%
;OPK-8;10.5;4.41176%
;OPK-7;8;3.36134%
;OPK-5;8;3.36134%
;OPK-2;5.16667;2.17087%
;OPK-4;2.66667;1.12045%;121.333;50.9804%
PK;PK-5;22.0455;9.2628%
;PK-11;10.0455;4.22078%
;PK-13;6.21212;2.61013%
;PK-17;5.54545;2.33002%
;PK-2;4;1.68067%
;PK-18;4;1.68067%
;PK-14;4.21212;1.7698%
;PK-7;2.54545;1.06952%
;PK-4;2.87879;1.20957%
;PK-3;2.04545;0.859435%
;PK-15;2.54545;1.06952%
;PK-12;2.04545;0.859435%
;PK-9;1;0.420168%
;PK-8;1;0.420168%
;PK-6;1;0.420168%
;PK-16;1;0.420168%
;PK-10;1;0.420168%
;PK-1;1.33333;0.560224%;74.4546;31.2834%
UK;UK-4;13.5;5.67227%
;UK-1;6.33333;2.66106%
;UK-5;5.33333;2.2409%
;UK-9;3;1.2605%
;UK-8;3;1.2605%
;UK-3;3.04545;1.2796%
;UK-7;2;0.840336%
;UK-2;2.66667;1.12045%
;UK-10;2;0.840336%
;UK-6;1.33333;0.560224%;42.2121;17.7362%
Количество зачётных единиц на все предметы;244
Количество зачётных единиц учтённых предметы;238
Количество дисциплин;49
Количество учтённых дисциплин;48
