Comp,Weight
OPK;OPK-1;28.25;12.7828%
;OPK-2;18.25;8.25792%
;OPK-5;9.75;4.41176%
;OPK-4;6.91667;3.12971%
;OPK-7;5.25;2.37557%
;OPK-6;5.75;2.60181%
;OPK-3;5.75;2.60181%
;OPK-9;4.25;1.92308%
;OPK-8;2.91667;1.31976%;87.0833;39.4042%
PK;PK-3;25;11.3122%
;PK-8;23;10.4072%
;PK-1;0.25;0.113122%;48.25;21.8326%
UK;UK-1;27.75;12.5566%
;UK-6;26;11.7647%
;UK-4;12.75;5.76923%
;UK-5;5;2.26244%
;UK-8;3;1.35747%
;UK-9;2;0.904977%
;UK-7;2;0.904977%
;UK-3;2.83333;1.28205%
;UK-2;2.83333;1.28205%
;UK-10;1.5;0.678733%;85.6667;38.7632%
Количество зачётных единиц на все предметы;244
Количество зачётных единиц учтённых предметы;221
Количество дисциплин;33
Количество учтённых дисциплин;29
