з.е.,Распределение з.е. по курсам и периодам обучения,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Курс 1,,,,,,,,,Курс 2,,,,,,,,,Курс 3,,,,,,,,,Курс 4,,,,,,,
,,Сем. 1,,,,Сем. 2,,,,,Сем. 3,,,,Сем. 4,,,,,Сем. 5,,,,Сем. 6,,,,,Сем. 7,,,,Сем. 8,,,
,,,Индекс,Наименование,з.е.,,Индекс,Наименование,з.е.,,,Индекс,Наименование,з.е.,,Индекс,Наименование,з.е.,,,Индекс,Наименование,з.е.,,Индекс,Наименование,з.е.,,,Индекс,Наименование,з.е.,,Индекс,Наименование,з.е.
,,,,"Б3.01(Д)
Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы
ИД-1(УК-1); ИД-2(УК-1); ИД-3(УК-1); ИД-1(УК-2); ИД-2(УК-2); ИД-3(УК-2); ИД-1(УК-3); ИД-2(УК-3); ИД-3(УК-3); ИД-1(УК-4); ИД-2(УК-4); ИД-3(УК-4); ИД-1(УК-5); ИД-2(УК-5); ИД-3(УК-5); ИД-1(УК-6); ИД-2(УК-6); ИД-3(УК-6); ИД-1(УК-7); ИД-2(УК-7); ИД-3(УК-7); ИД-1(УК-8); ИД-2(УК-8); ИД-3(УК-8); ИД-1(УК-9); ИД-2(УК-9); ИД-3(УК-9); ИД-1(УК-10); ИД-2(УК-10); ИД-3(УК-10); ИД-4(УК-10); ИД-5(УК-10); ИД-1(УК-11); ИД-2(УК-11); ИД-3(УК-11); ИД-1(ОПК-1); ИД-2(ОПК-1); ИД-3(ОПК-1); ИД-1(ОПК-2); ИД-2(ОПК-2); ИД-3(ОПК-2); ИД-1(ОПК-3); ИД-2(ОПК-3); ИД-3(ОПК-3); ИД-1(ОПК-4); ИД-2(ОПК-4); ИД-3(ОПК-4); ИД-4(ОПК-4); ИД-1(ОПК-5); ИД-2(ОПК-5); ИД-3(ОПК-5); ИД-1(ОПК-6); ИД-2(ОПК-6); ИД-3(ОПК-6); ИД-1(ОПК-7); ИД-2(ОПК-7); ИД-3(ОПК-7); ИД-1(ОПК-8); ИД-2(ОПК-8); ИД-3(ОПК-8); ИД-4(ОПК-8); ИД-5(ОПК-8); ИД-6(ОПК-8); ИД-1(ОПК-9); ИД-2(ОПК-9); ИД-3(ОПК-9); ИД-1(ОПК-10); ИД-2(ОПК-10); ИД-3(ОПК-10); ИД-4(ОПК-10); ИД-1(ОПК-11); ИД-2(ОПК-11); ИД-1(ПК-1); ИД-2(ПК-1); ИД-3(ПК-1); ИД-1(ПК-2); ИД-2(ПК-2); ИД-3(ПК-2); ИД-1(ПК-3); ИД-2(ПК-3); ИД-3(ПК-3); ИД-1(ПК-4); ИД-2(ПК-4); ИД-3(ПК-4); ИД-1(ПК-5); ИД-2(ПК-5); ИД-3(ПК-5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Итого,,60,,,,,,,,,60,,,,,,,,,64,,,,,,,,,60,,,,,,,
Всего,,27.5,,,,32.5,,,,,28,,,,32,,,,,32.5,,,,31.5,,,,,29,,,,31,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,{$},,"Б1.О.02
История
[За]
ИД-1(УК-5); ИД-2(УК-5); ИД-3(УК-5)",2,{$},,"Б1.О.02
История
[За]
ИД-1(УК-5); ИД-2(УК-5); ИД-3(УК-5)",2,,{$},,"Б1.О.03
Иностранный язык
[За]
ИД-1(УК-4); ИД-2(УК-4); ИД-3(УК-4)",2,{$},,"Б1.О.01
Философия
[Эк]
ИД-2(УК-5); ИД-3(УК-5)",4,,{$},,"Б1.О.12
Теория автоматического управления
[За, КР]
ИД-1(ОПК-2); ИД-2(ОПК-2); ИД-3(ОПК-2); ИД-1(ОПК-3); ИД-2(ОПК-3); ИД-3(ОПК-3)",4,{$},,"Б1.О.16
Исполнительные устройства автоматики
[Эк]
ИД-1(ОПК-7); ИД-2(ОПК-7); ИД-3(ОПК-8); ИД-5(ОПК-8)",5,,{$},,"Б1.О.19
Проектирование систем управления
[За]
ИД-1(ОПК-10); ИД-2(ОПК-10); ИД-3(ОПК-10)",4,{$},,"Б1.В.02
Интеллектуальные системы управления техническими объектами
[Эк]
ИД-1(ПК-4); ИД-2(ПК-4); ИД-3(ПК-4); ИД-1(ПК-5)",4
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
