Вид,,,Курс,Сем,Каф.,Студ.,Замечания
 ,,,,,,,
,Теория автоматического управления ,,,,,,
,,КР,3,1,97,0,
,Управление техническими системами и процессами ,,,,,,
,,КП,4,2,97,0,
Дисциплины по выбору Б1.В.ДВ.3 ,,,,,,,
,DCS-системы ,,,,,,
,,КП,4,1,378,0,
,SCADA-системы ,,,,,,
,,КП,4,1,378,0,
