-,-,-,Форма контроля,,,,з.е.,,Итого акад.часов,,,,,,,Курс 1,,Курс 2,,Курс 3,,Курс 4,,Закрепленная кафедра,
,,,,,,,,,,,,,,,,Семестр 1,Семестр 2,Семестр 3,Семестр 4,Семестр 5,Семестр 6,Семестр 7,Семестр 8,,
Считать в плане,Индекс,Наименование,Экза мен,Зачет,Зачет с оц.,КР,Экспер тное,Факт,Экспер тное,По плану,Конт. раб.,Ауд.,СР,Конт роль,Пр. подгот,з.е.,з.е.,з.е.,з.е.,з.е.,з.е.,з.е.,з.е.,Код,Наименование
+,Б1.В.08,3D-моделирование/Autodesk 3ds Max,6,5,,,9,9,324,324,108,108,180,36,,,,,,3,6,,,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ)
+,Б1.В.09,Маркетинг в социальных медиа/SMM,,6,,6,4,4,144,144,72,72,72,,,,,,,,4,,,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ)
+,Б1.В.10,Режиссура интерактивных медиа,,6,,,3,3,108,108,36,36,72,,,,,,,,3,,,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ)
+,Б1.В.11,Моушн-дизайн,5,,,,3,3,108,108,54,54,18,36,,,,,,3,,,,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ)
+,Б1.В.12,Основы цифрового делопроизводства,,7,,,3,3,108,108,54,54,18,36,,,,,,,,3,,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ)
+,Б1.В.13,Методы анализа данных на Python и R,7,,,,5,5,180,180,54,54,90,36,,,,,,,,5,,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ)
+,Б1.В.14,Технологии дополненной и виртуальной реальности: AR и VR,7,,,,5,5,180,180,90,90,54,36,,,,,,,,5,,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ)
+,Б1.В.15,3D-скульптинг/Pixologic ZBrush,,7,,,3,3,108,108,54,54,54,,,,,,,,,3,,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ)
+,Б1.В.16,"Веб-аналитика/Яндекс.Метрика, Google Analytics",,8,,,2,2,72,72,36,36,36,,,,,,,,,,2,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ)
+,Б1.В.17,UI/UX дизайн,,7,,,2,2,72,72,54,54,18,,,,,,,,,2,,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ)
+,Б1.В.18,Полиграфический дизайн и верстка/Adobe Illustrator,8,,,,3,3,108,108,54,54,18,36,,,,,,,,,3,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ)
+,Б1.В.19,Информационная этика и цифровое право,8,,,,3,3,108,108,36,36,36,36,,,,,,,,,3,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ)
+,Б1.В.20,Компьютерный анализ текста,,5,,,3,3,108,108,54,54,54,,,,,,,3,,,,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ)
+,Б1.В.21,Разработка компьютерных игр,,7,,,3,3,108,108,54,54,54,,,,,,,,,3,,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ)
+,Б1.В.22,Конфликты и переговоры,,8,,,3,3,108,108,54,54,54,,,,,,,,,,3,221,Кафедра теории и методики социальной работы (ТМСР_СПФ)
+,Б1.В.23,Управление проектами и тайм-менеджмент,,7,,,2,2,72,72,36,36,36,,,,,,,,,2,,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ)
+,Б1.В.ДВ.01,Дисциплины (модули) по выбору 1 (ДВ.1),7,,,,5,5,180,180,72,72,72,36,,,,,,,,5,,,
+,Б1.В.ДВ.01.01,Медиапланирование,7,,,,5,5,180,180,72,72,72,36,,,,,,,,5,,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ)
-,Б1.В.ДВ.01.02,Авторское право в медиа,7,,,,5,5,180,180,72,72,72,36,,,,,,,,5,,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ)
+,Б1.В.ДВ.02,Дисциплины (модули) по выбору 2 (ДВ.2),,7,,,3,3,108,108,54,54,54,,,,,,,,,3,,,
+,Б1.В.ДВ.02.01,Разработка мобильных приложений,,7,,,3,3,108,108,54,54,54,,,,,,,,,3,,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ)
-,Б1.В.ДВ.02.02,Интерактивная визуализация данных,,7,,,3,3,108,108,54,54,54,,,,,,,,,3,,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ)
Блок 2.Практика ,,,,,,,21,21,756,756,,,756,,,,3,,3,,6,,9,,
Обязательная часть ,,,,,,,6,6,216,216,,,216,,,,3,,3,,,,,,
+,Б2.О.01(У),Ознакомительная практика,,,2,,3,3,108,108,,,108,,,,3,,,,,,,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ)
+,Б2.О.02(У),Технологическая (проектно-технологическая) практика,,,4,,3,3,108,108,,,108,,,,,,3,,,,,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ)
"Часть, формируемая участниками образовательных отношений ",,,,,,,15,15,540,540,,,540,,,,,,,,6,,9,,
+,Б2.В.01(П),Технологическая (проектно-технологическая) практика,,,6,,6,6,216,216,,,216,,,,,,,,6,,,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ)
+,Б2.В.02(Пд),Преддипломная  практика,,,8,,9,9,324,324,,,324,,,,,,,,,,9,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ)
Блок 3.Государственная итоговая аттестация ,,,,,,,9,9,324,324,,,324,,,,,,,,,,9,,
+,Б3.01,выполнение и защита выпускной квалификационной работы,,,,,9,9,324,324,,,324,,,,,,,,,,9,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ)
ФТД.Факультативные дисциплины ,,,,,,,15,15,540,540,216,216,324,,,,,,,5,5,2,3,,
+,ФТД.01,Психология визуального восприятия,,6,,,2,2,72,72,36,36,36,,,,,,,,2,,,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ)
+,ФТД.02,"Природа, культура и история Красноярского края",,5,,,2,2,72,72,36,36,36,,,,,,,2,,,,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ)
+,ФТД.03,Иностранный язык в профессиональной деятельности,,5678,,,11,11,396,396,144,144,252,,,,,,,3,3,2,3,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ)
