Source,Target,Type,Kind,Id,Label,timeset,Weight
48,47,Undirected,,,,,5.067568
88,87,Undirected,,,,,4.504505
114,113,Undirected,,,,,2.815315
142,141,Undirected,,,,,8.445946
184,183,Undirected,,,,,2.533784
185,184,Undirected,,,,,2.533784
186,185,Undirected,,,,,2.533784
202,201,Undirected,,,,,3.096847
203,202,Undirected,,,,,3.096847
204,203,Undirected,,,,,3.096847
272,271,Undirected,,,,,6.756757
464,463,Undirected,,,,,0.000000
465,464,Undirected,,,,,0.000000
466,465,Undirected,,,,,0.000000
467,466,Undirected,,,,,0.000000
468,467,Undirected,,,,,0.000000
478,477,Undirected,,,,,3.753754
479,478,Undirected,,,,,3.753754
494,493,Undirected,,,,,4.504505
646,645,Undirected,,,,,0.563063
650,649,Undirected,,,,,0.563063
183,687,Undirected,,,,,5.912162
463,645,Undirected,,,,,0.563063
645,463,Undirected,,,,,0.563063
687,183,Undirected,,,,,5.912162
114,366,Undirected,,,,,6.193694
142,170,Undirected,,,,,14.076577
170,142,Undirected,,,,,14.076577
310,562,Undirected,,,,,7.882883
366,114,Undirected,,,,,6.193694
366,478,Undirected,,,,,7.132132
464,646,Undirected,,,,,0.563063
478,366,Undirected,,,,,7.132132
562,310,Undirected,,,,,7.882883
646,464,Undirected,,,,,0.563063
87,381,Undirected,,,,,7.882883
381,87,Undirected,,,,,7.882883
381,479,Undirected,,,,,7.132132
409,493,Undirected,,,,,9.009009
479,381,Undirected,,,,,7.132132
493,409,Undirected,,,,,9.009009
18,88,Undirected,,,,,7.882883
88,18,Undirected,,,,,7.882883
33,131,Undirected,,,,,5.630631
33,271,Undirected,,,,,9.009009
33,285,Undirected,,,,,5.630631
33,579,Undirected,,,,,5.630631
47,159,Undirected,,,,,8.445946
131,33,Undirected,,,,,5.630631
131,271,Undirected,,,,,10.135135
131,579,Undirected,,,,,6.756757
159,47,Undirected,,,,,8.445946
271,33,Undirected,,,,,9.009009
271,131,Undirected,,,,,10.135135
271,579,Undirected,,,,,10.135135
285,33,Undirected,,,,,5.630631
467,649,Undirected,,,,,0.563063
579,33,Undirected,,,,,5.630631
579,131,Undirected,,,,,6.756757
579,271,Undirected,,,,,10.135135
649,467,Undirected,,,,,0.563063
48,622,Undirected,,,,,10.698198
272,510,Undirected,,,,,9.009009
468,650,Undirected,,,,,0.563063
510,272,Undirected,,,,,9.009009
510,552,Undirected,,,,,5.630631
552,510,Undirected,,,,,5.630631
622,48,Undirected,,,,,10.698198
650,468,Undirected,,,,,0.563063
63,343,Undirected,,,,,9.009009
63,609,Undirected,,,,,9.009009
77,637,Undirected,,,,,4.504505
203,357,Undirected,,,,,8.727477
203,427,Undirected,,,,,6.475225
343,63,Undirected,,,,,9.009009
343,609,Undirected,,,,,11.261261
357,203,Undirected,,,,,8.727477
357,427,Undirected,,,,,9.009009
427,203,Undirected,,,,,6.475225
427,357,Undirected,,,,,9.009009
525,539,Undirected,,,,,13.513514
525,637,Undirected,,,,,5.630631
539,525,Undirected,,,,,13.513514
539,637,Undirected,,,,,5.630631
609,63,Undirected,,,,,9.009009
609,343,Undirected,,,,,11.261261
637,77,Undirected,,,,,4.504505
637,525,Undirected,,,,,5.630631
637,539,Undirected,,,,,5.630631
8,232,Undirected,,,,,5.630631
204,302,Undirected,,,,,6.475225
232,8,Undirected,,,,,5.630631
302,204,Undirected,,,,,6.475225
