Source,Target,Type,Kind,Id,Label,timeset,Weight
0,16,Undirected,,,,,5.630631
0,20,Undirected,,,,,5.630631
0,23,Undirected,,,,,6.756757
0,24,Undirected,,,,,7.882883
0,36,Undirected,,,,,4.504505
0,39,Undirected,,,,,5.630631
1,6,Undirected,,,,,12.387387
1,17,Undirected,,,,,11.261261
1,26,Undirected,,,,,6.756757
1,27,Undirected,,,,,13.513514
1,34,Undirected,,,,,14.639640
2,9,Undirected,,,,,5.630631
2,18,Undirected,,,,,6.756757
2,19,Undirected,,,,,15.765766
2,20,Undirected,,,,,5.630631
2,28,Undirected,,,,,4.504505
2,36,Undirected,,,,,4.504505
2,40,Undirected,,,,,5.630631
2,41,Undirected,,,,,5.630631
2,47,Undirected,,,,,11.261261
3,4,Undirected,,,,,13.513514
3,11,Undirected,,,,,13.513514
3,24,Undirected,,,,,15.765766
3,31,Undirected,,,,,13.513514
3,43,Undirected,,,,,15.765766
3,44,Undirected,,,,,15.765766
4,11,Undirected,,,,,6.756757
4,24,Undirected,,,,,9.009009
4,31,Undirected,,,,,6.756757
4,43,Undirected,,,,,9.009009
4,44,Undirected,,,,,9.009009
5,11,Undirected,,,,,5.630631
5,31,Undirected,,,,,5.630631
5,45,Undirected,,,,,4.504505
6,17,Undirected,,,,,16.891892
6,27,Undirected,,,,,12.387387
8,15,Undirected,,,,,9.009009
8,26,Undirected,,,,,9.009009
8,35,Undirected,,,,,14.639640
9,18,Undirected,,,,,7.882883
9,19,Undirected,,,,,16.891892
9,21,Undirected,,,,,6.756757
9,36,Undirected,,,,,5.630631
9,41,Undirected,,,,,6.756757
9,47,Undirected,,,,,6.756757
10,12,Undirected,,,,,22.522523
10,42,Undirected,,,,,23.648649
10,48,Undirected,,,,,21.396396
11,24,Undirected,,,,,9.009009
11,31,Undirected,,,,,13.513514
11,43,Undirected,,,,,9.009009
11,44,Undirected,,,,,9.009009
11,45,Undirected,,,,,5.630631
12,42,Undirected,,,,,12.387387
12,48,Undirected,,,,,10.135135
13,14,Undirected,,,,,22.522523
13,25,Undirected,,,,,15.765766
13,30,Undirected,,,,,13.513514
13,49,Undirected,,,,,13.513514
14,21,Undirected,,,,,15.765766
14,25,Undirected,,,,,18.018018
14,29,Undirected,,,,,16.891892
14,30,Undirected,,,,,15.765766
14,49,Undirected,,,,,31.531532
16,20,Undirected,,,,,6.756757
16,24,Undirected,,,,,9.009009
16,29,Undirected,,,,,7.882883
16,32,Undirected,,,,,6.756757
16,36,Undirected,,,,,5.630631
16,39,Undirected,,,,,6.756757
17,27,Undirected,,,,,11.261261
18,19,Undirected,,,,,18.018018
18,36,Undirected,,,,,6.756757
18,41,Undirected,,,,,7.882883
18,47,Undirected,,,,,7.882883
19,36,Undirected,,,,,15.765766
19,41,Undirected,,,,,16.891892
19,47,Undirected,,,,,16.891892
20,24,Undirected,,,,,9.009009
20,28,Undirected,,,,,5.630631
20,36,Undirected,,,,,5.630631
20,39,Undirected,,,,,6.756757
20,40,Undirected,,,,,6.756757
20,47,Undirected,,,,,6.756757
21,29,Undirected,,,,,7.882883
21,49,Undirected,,,,,6.756757
22,40,Undirected,,,,,7.882883
22,48,Undirected,,,,,9.009009
24,31,Undirected,,,,,9.009009
24,36,Undirected,,,,,7.882883
24,39,Undirected,,,,,9.009009
24,43,Undirected,,,,,11.261261
24,44,Undirected,,,,,11.261261
25,30,Undirected,,,,,9.009009
25,49,Undirected,,,,,9.009009
26,27,Undirected,,,,,6.756757
26,34,Undirected,,,,,14.639640
26,35,Undirected,,,,,12.387387
27,34,Undirected,,,,,14.639640
28,40,Undirected,,,,,5.630631
28,47,Undirected,,,,,5.630631
29,32,Undirected,,,,,7.882883
29,35,Undirected,,,,,13.513514
29,49,Undirected,,,,,7.882883
30,49,Undirected,,,,,6.756757
31,43,Undirected,,,,,9.009009
31,44,Undirected,,,,,9.009009
31,45,Undirected,,,,,5.630631
33,46,Undirected,,,,,2.252252
35,36,Undirected,,,,,11.261261
36,39,Undirected,,,,,5.630631
36,41,Undirected,,,,,5.630631
36,47,Undirected,,,,,5.630631
37,38,Undirected,,,,,13.513514
37,39,Undirected,,,,,6.756757
37,45,Undirected,,,,,5.630631
38,39,Undirected,,,,,6.756757
38,45,Undirected,,,,,5.630631
39,45,Undirected,,,,,5.630631
40,47,Undirected,,,,,6.756757
41,47,Undirected,,,,,6.756757
42,48,Undirected,,,,,11.261261
43,44,Undirected,,,,,11.261261
