-,-,-,Форма контроля,,,,,,,з.е.,,Итого акад.часов,,,,,,,Курс 1,,Курс 2,,Курс 3,,Курс 4,,Закрепленная кафедра,
,,,,,,,,,,,,,,,,,,,Семестр 1,Семестр 2,Семестр 3,Семестр 4,Семестр 5,Семестр 6,Семестр 7,Семестр 8,,
Считать в плане,Индекс,Наименование,Экза мен,Зачет,Зачет с оц.,КП,КР,ДКР,Др,Экспер тное,Факт,Экспер тное,По плану,Конт. раб.,Ауд.,СР,Конт роль,Пр. подгот,з.е.,з.е.,з.е.,з.е.,з.е.,з.е.,з.е.,з.е.,Код,Наименование
+,Б1.О.30,Физическая культура и спорт,,1256,,,,,,2,2,72,72,72,72,,,,0.5,0.5,,,0.5,0.5,,,346,Кафедра физической культуры (ФК_ИФКСТ)
+,Б1.О.31,Прикладная физическая культура и спорт,,123456,,,,,,,,328,328,328,328,,,,,,,,,,,,346,Кафедра физической культуры (ФК_ИФКСТ)
+,Б1.О.32,Анализ данных,,7,,,,,,3,3,108,108,72,72,36,,,,,,,,,3,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
"Часть, формируемая участниками образовательных отношений ",,,,,,,,,,74,74,2664,2664,1026,1026,1314,324,,,,4,6,13,21,16,14,,
+,Б1.В.01,Методы оптимизации,6,5,,,,,,9,9,324,324,108,108,180,36,,,,,,3,6,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.В.02,Теория чисел,5,,,,,,,4,4,144,144,72,72,36,36,,,,,,4,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.В.03,Интегральные преобразования и их применение,7,,,,,,,5,5,180,180,72,72,72,36,,,,,,,,5,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.В.04,Теоретическая механика,3,,,,,,,4,4,144,144,36,36,72,36,,,,4,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.В.05,Компьютерные сети,,4,,,,,,3,3,108,108,36,36,72,,,,,,3,,,,,92,Кафедра вычислительной техники (ВТ_ИКИТ)
+,Б1.В.06,Параллельное программирование,6,,,,,,,4,4,144,144,54,54,54,36,,,,,,,4,,,359,Кафедра высокопроизводительных вычислений (ВПВ_ИКИТ)
+,Б1.В.07,Бакалаврский семинар,,67,,,67,,,5,5,180,180,54,54,126,,,,,,,,2,3,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.В.08,Основы топологии,,5,,,,,,3,3,108,108,54,54,54,,,,,,,3,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.В.09,Основы вычислительного эксперимента,,6,,,,,,3,3,108,108,54,54,54,,,,,,,,3,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.В.10,Информационная безопасность и защита информации,,5,,,,,,3,3,108,108,54,54,54,,,,,,,3,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.В.11,Разностные методы,,6,,,,,,3,3,108,108,54,54,54,,,,,,,,3,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.В.12,Нечеткая логика и ее приложения,,6,,,,,,3,3,108,108,54,54,54,,,,,,,,3,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.В.13,Методика обучения математике,8,,,,,,,3,3,108,108,18,18,54,36,,,,,,,,,3,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.В.14,Аналитическая механика,,4,,,,,,3,3,108,108,54,54,54,,,,,,3,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.В.15,Основы профилактики коррупции,,8,,,,,,2,2,72,72,36,36,36,,,,,,,,,,2,98,Кафедра систем искусственного интеллекта (КСИИ_ИКИТ)
+,Б1.В.ДВ.01,Дисциплины по выбору Б1.В.ДВ.1,,7,,,,,,3,3,108,108,54,54,54,,,,,,,,,3,,,
+,Б1.В.ДВ.01.01,Теория рисков,,7,,,,,,3,3,108,108,54,54,54,,,,,,,,,3,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
-,Б1.В.ДВ.01.02,Численная линейная алгебра,,7,,,,,,3,3,108,108,54,54,54,,,,,,,,,3,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.В.ДВ.02,Дисциплины по выбору Б1.В.ДВ.2,7,,,,,,,5,5,180,180,54,54,90,36,,,,,,,,5,,,
+,Б1.В.ДВ.02.01,Математика сложных процессов,7,,,,,,,5,5,180,180,54,54,90,36,,,,,,,,5,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
-,Б1.В.ДВ.02.02,Нейронные сети и их приложения,7,,,,,,,5,5,180,180,54,54,90,36,,,,,,,,5,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.В.ДВ.03,Дисциплины по выбору Б1.В.ДВ.3,8,,,,,,,4,4,144,144,54,54,54,36,,,,,,,,,4,,
+,Б1.В.ДВ.03.01,Дискретный гармонический анализ,8,,,,,,,4,4,144,144,54,54,54,36,,,,,,,,,4,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
-,Б1.В.ДВ.03.02,Механика сплошной среды,8,,,,,,,4,4,144,144,54,54,54,36,,,,,,,,,4,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.В.ДВ.04,Дисциплины по выбору Б1.В.ДВ.4,8,,,,,,,5,5,180,180,54,54,90,36,,,,,,,,,5,,
+,Б1.В.ДВ.04.01,Основы компьютерной алгебры,8,,,,,,,5,5,180,180,54,54,90,36,,,,,,,,,5,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
-,Б1.В.ДВ.04.02,Технологии программирования,8,,,,,,,5,5,180,180,54,54,90,36,,,,,,,,,5,92,Кафедра вычислительной техники (ВТ_ИКИТ)
Блок 2.Практика ,,,,,,,,,,21,21,756,756,,,756,,,,3,,3,,6,,9,,
Обязательная часть ,,,,,,,,,,6,6,216,216,,,216,,,,3,,3,,,,,,
