Индекс,,,,,Наименование,Компетенции,Требования к образованию
01,,,,,ОБРАЗОВАНИЕ И НАУКА,,
,01.001,,,,"ПЕДАГОГ (ПЕДАГОГИЧЕСКАЯ ДЕЯТЕЛЬНОСТЬ В СФЕРЕ ДОШКОЛЬНОГО, НАЧАЛЬНОГО ОБЩЕГО, ОСНОВНОГО ОБЩЕГО, СРЕДНЕГО ОБЩЕГО ОБРАЗОВАНИЯ) (ВОСПИТАТЕЛЬ, УЧИТЕЛЬ)",ПК-1; ПК-3,
,,B,,,Педагогическая деятельность по проектированию и реализации основных общеобразовательных программ,ПК-1; ПК-3,"Учитель: высшее образование или среднее профессиональное образование в рамках укрупненных групп направлений подготовки высшего образования и специальностей среднего профессионального образования ""Образование и педагогические науки"" или в области, соответствующей преподаваемому предмету, либо высшее образование или среднее профессиональное образование и дополнительное профессиональное образование по направлению деятельности в образовательной организации;
Воспитатель: высшее образование или среднее профессиональное образование в рамках укрупненных групп направлений подготовки высшего образования и специальностей среднего профессионального образования ""Образование и педагогические науки"" либо высшее образование или среднее профессиональное образование и дополнительное профессиональное образование по направлению деятельности в образовательной организации

"
,,,B/04.6,,"Модуль ""Предметное обучение. Математика""",ПК-1; ПК-3,
,,,,ТД.2,"Формирование способности к постижению основ математических моделей реального объекта или процесса, готовности к применению моделирования для построения объектов и процессов, определения или предсказания их свойств",ПК-1,
,,,,У.6,"Совместно с обучающимися проводить анализ учебных и жизненных ситуаций, в которых можно применить математический аппарат и математические инструменты (например, динамические таблицы), то же - для идеализированных (задачных) ситуаций, описанных текстом",ПК-3,
40,,,,,СКВОЗНЫЕ ВИДЫ ПРОФЕССИОНАЛЬНОЙ ДЕЯТЕЛЬНОСТИ В ПРОМЫШЛЕННОСТИ,,
,40.011,,,,СПЕЦИАЛИСТ ПО НАУЧНО-ИССЛЕДОВАТЕЛЬСКИМ И ОПЫТНО-КОНСТРУКТОРСКИМ РАЗРАБОТКАМ,ПК-2; ПК-3; ПК-4,
,,A,,,Проведение научно-исследовательских и опытно-конструкторских разработок по отдельным разделам темы,ПК-2; ПК-3; ПК-4,Высшее образование - бакалавриат
,,,A/01.5,,Осуществление проведения работ по обработке и анализу научно-технической информации и результатов исследований,ПК-2; ПК-3; ПК-4,
,,,,ТД.5,Внедрение результатов исследований и разработок в соответствии с установленными полномочиями,ПК-3,
,,,,Зн.2,Методы анализа и обобщения отечественного и международного опыта в соответствующей области исследований,ПК-2,
,,,,Зн.4,"Методы проведения экспериментов и наблюдений, обобщения и обработки информации",ПК-4,
