-,-,-,Форма контроля,,,,,,,з.е.,Итого акад.часов,,,,,Курс 1,,,,,,,,,,,,,,Курс 2,,,,,,,,,,,,,,Курс 3,,,,,,,,,,,,,,Курс 4,,,,,,,,,,,,,,Закрепленная кафедра
,,,,,,,,,,,,,,,,Семестр 1,,,,,,,Семестр 2,,,,,,,Семестр 3,,,,,,,Семестр 4,,,,,,,Семестр 5,,,,,,,Семестр 6,,,,,,,Семестр 7,,,,,,,Семестр 8,,,,,,,
Считать в плане,Индекс,Наименование,Экза мен,Зачет,Зачет с оц.,КП,КР,ДКР,Др,Факт,По плану,Конт. раб.,Ауд.,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,Код
+,Б1.О.21,Численные методы,,5,,,,,,3,108,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,36,,36,36,,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.О.22,Теория случайных процессов,,6,,,,,,3,108,54,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,95
+,Б1.О.23,Математическое моделирование,,7,,,,,,3,108,54,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,95
+,Б1.О.24,Математический анализ. Дополнительные главы,34,,,,,,,9,324,162,162,90,72,,,,,,,,,,,,,,,4,144,36,,36,36,36,5,180,36,,54,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.О.25,Дискретная математика,2,,,,,,,5,180,72,72,72,36,,,,,,,,5,180,36,,36,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.О.26,Алгебра,2,1,,,,,,7,252,126,126,90,36,3,108,36,,36,36,,4,144,36,,18,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.О.27,Уравнения математической физики,56,,,,,,,9,324,108,108,144,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,18,,18,108,36,4,144,36,,36,36,36,,,,,,,,,,,,,,,95
+,Б1.О.28,Функциональный анализ,,4,,,,,,3,108,54,54,54,,,,,,,,,,,,,,,,,,,,,,,3,108,36,,18,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.О.29,Язык программирования Python для научных вычислений,,3,,,,,,2,72,36,36,36,,,,,,,,,,,,,,,,2,72,,36,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.О.30,Физическая культура и спорт,,1256,,,,,,2,72,72,72,,,0.5,18,6,,12,,,0.5,18,4,,14,,,,,,,,,,,,,,,,,0.5,18,4,,14,,,0.5,18,4,,14,,,,,,,,,,,,,,,,,346
+,Б1.О.31,Прикладная физическая культура и спорт,,123456,,,,,,,328,328,328,,,,50,,,50,,,,50,,,50,,,,68,,,68,,,,68,,,68,,,,46,,,46,,,,46,,,46,,,,,,,,,,,,,,,,,346
