Вид,,,Курс,Сем,Каф.,Студ.,Замечания
 ,,,,,,,
,Технологии программирования ,,,,,,
,,КР,2,2,94,0,
,Интеллектуальные системы и технологии ,,,,,,
,,КР,3,2,98,0,
Дисциплины по выбору Б1.В.ДВ.7 ,,,,,,,
,Моделирование ,,,,,,
,,КП,4,2,98,0,
,Применение ГИС в исследованиях (МДКП) ,,,,,,
,,КП,4,2,90,0,
,Программные средства медиаиндустрии ,,,,,,
,,КП,4,2,98,0,
,Проектирование ИС для корпоративного сектора (МДКП) ,,,,,,
,,КП,4,2,94,0,
