Индекс,,,,Наименование,Формируемые компетенции
,,Б1.В.ДВ.08,,Дисциплины по выбору Б1.В.ДВ.8,ПК-1; ПК-4; ПК-10
,,,Б1.В.ДВ.08.01,Графический дизайн интерфейса,ПК-1; ПК-4; ПК-10
,,,Б1.В.ДВ.08.02,Мультиагентные системы,ПК-1; ПК-2
,,,Б1.В.ДВ.08.03,Информационные системы на предприятиях,ПК-1
,,,Б1.В.ДВ.08.04,Пространственный анализ данных в ГИС,ПК-6
Б2,,,,Практика,УК-1; ОПК-1; ОПК-4; ОПК-5; ОПК-6; ОПК-7; ПК-2; ПК-3
,Б2.О,,,Обязательная часть,УК-1; ОПК-1; ОПК-4; ОПК-5; ОПК-6; ОПК-7
,,Б2.О.01(У),,Ознакомительная практика,ОПК-4; ОПК-5
,,Б2.О.02(У),,Научно-исследовательская работа (получение первичных навыков научно-исследовательской работы),УК-1; ОПК-1
,,Б2.О.03(П),,Технологическая (проектно-технологическая) практика,ОПК-6; ОПК-7
,Б2.В,,,"Часть, формируемая участниками образовательных отношений",ПК-2; ПК-3
,,Б2.В.01(П),,Преддипломная практика,ПК-2; ПК-3
Б3,,,,Государственная итоговая аттестация,УК-1; УК-2; УК-3; УК-4; УК-5; УК-6; УК-7; УК-8; УК-9; УК-10; ОПК-1; ОПК-2; ОПК-3; ОПК-4; ОПК-5; ОПК-6; ОПК-7; ОПК-8; ПК-1; ПК-2; ПК-3; ПК-4; ПК-5; ПК-6; ПК-7; ПК-9; ПК-8; ПК-10
,Б3.01(Д),,,выполнение и защита выпускной квалификационной работы,УК-1; УК-2; УК-3; УК-4; УК-5; УК-6; УК-7; УК-8; УК-9; УК-10; ОПК-1; ОПК-2; ОПК-3; ОПК-4; ОПК-5; ОПК-6; ОПК-7; ОПК-8; ПК-1; ПК-2; ПК-3; ПК-4; ПК-5; ПК-6; ПК-7; ПК-9; ПК-8; ПК-10
ФТД,,,,Факультативы,УК-1; ПК-1; ПК-6
,ФТД.01,,,Системы дистанционного зондирования Земли,ПК-6
,ФТД.02,,,Распределенные информационные системы,ПК-1
,ФТД.03,,,Спортивное программирование,УК-1
