-,-,-,Форма контроля,,,,,з.е.,Итого акад.часов,,,,Курс 1,,,,,,,,,,,,,,Курс 2,,,,,,,,,,,,,,Курс 3,,,,,,,,,,,,,,Курс 4,,,,,,,,,,,,,,Закрепленная кафедра
,,,,,,,,,,,,,Семестр 1,,,,,,,Семестр 2,,,,,,,Семестр 3,,,,,,,Семестр 4,,,,,,,Семестр 5,,,,,,,Семестр 6,,,,,,,Семестр 7,,,,,,,Семестр 8,,,,,,,
Считать в плане,Индекс,Наименование,Экза мен,Зачет,Зачет с оц.,КП,КР,Факт,По плану,Ауд.,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,Код
Блок 1.Дисциплины (модули) ,,,,,,,,210,7888,3700,3324,864,27.5,1040,168,,350,450,72,29.5,1112,184,18,334,432,144,27,1040,144,,356,432,108,30,1148,198,,374,432,144,26,982,166,,294,414,108,28,1054,166,,312,468,108,31,1116,234,,306,468,108,11,396,40,,56,228,72,
Обязательная часть ,,,,,,,,94,3712,1876,1440,396,27.5,1040,168,,350,450,72,29.5,1112,184,18,334,432,144,10,428,54,,176,162,36,13,536,72,,212,180,72,5.5,244,40,,96,72,36,2.5,136,22,,78,36,,6,216,36,,36,108,36,,,,,,,,
+,Б1.О.01,Философия,4,,,,,4,144,54,54,36,,,,,,,,,,,,,,,,,,,,,,4,144,18,,36,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
+,Б1.О.02,История,,12,,,,4,144,72,72,,2,72,18,,18,36,,2,72,18,,18,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,Б1.О.02.01,История России,,1,,,,2,72,36,36,,2,72,18,,18,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461
+,Б1.О.02.02,Всеобщая история,,2,,,,2,72,36,36,,,,,,,,,2,72,18,,18,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461
+,Б1.О.03,Иностранный язык,4,123,,,,9,324,144,144,36,2,72,,,36,36,,2,72,,,36,36,,2,72,,,36,36,,3,108,,,36,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96
+,Б1.О.04,Безопасность жизнедеятельности,,3,,,,3,108,54,54,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209
+,Б1.О.05,Физика,,2,,,,3,108,72,36,,,,,,,,,3,108,36,18,18,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141
+,Б1.О.06,Информатика,1,,,,,4,144,54,54,36,4,144,18,,36,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94
+,Б1.О.07,Основы программирования,2,1,,,,9,324,144,144,36,5,180,18,,72,90,,4,144,18,,36,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94
+,Б1.О.08,Введение в профессиональную деятельность,2,1,,,,9,324,126,162,36,4,144,36,,36,72,,5,180,18,,36,90,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98
+,Б1.О.09,Алгебра и геометрия,1,,,,,5,180,72,72,36,5,180,36,,36,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.О.10,Математический анализ,2,1,,,,10,360,180,144,36,5,180,36,,54,90,,5,180,36,,54,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.О.11,Дискретная математика,2,,,,,5,180,72,72,36,,,,,,,,5,180,36,,36,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
