Индекс,,,,Каф,Наименование,Формируемые компетенции
,,Б1.В.15,,292,3D-скульптинг/Pixologic ZBrush,ПК-5.1; ПК-5.2; ПК-5.3; ПК-11.1; ПК-11.2; ПК-11.3
,,Б1.В.16,,292,"Веб-аналитика/Яндекс.Метрика, Google Analytics",ПК-4.1; ПК-4.2; ПК-4.3; ПК-9.1; ПК-9.2; ПК-9.3; ПК-10.1; ПК-6.1; ПК-6.2; ПК-10.2; ПК-6.3; ПК-10.3
,,Б1.В.17,,292,UI/UX дизайн,ПК-8.1; ПК-8.2; ПК-8.3
,,Б1.В.18,,292,Полиграфический дизайн и верстка/Adobe Illustrator,ПК-5.1; ПК-5.2; ПК-5.3; ПК-11.1; ПК-11.2; ПК-11.3; ПК-8.1; ПК-8.2; ПК-8.3
,,Б1.В.19,,292,Информационная этика и цифровое право,УК-2.1; УК-2.2; УК-2.3; ПК-4.1; ПК-4.2; ПК-4.3
,,Б1.В.20,,292,Компьютерный анализ текста,УК-1.1; УК-1.2; УК-1.3; ПК-4.1; ПК-4.2; ПК-4.3
,,Б1.В.21,,292,Разработка компьютерных игр,ПК-3.1; ПК-3.2; ПК-3.3; ПК-7.1; ПК-7.2; ПК-7.3
,,Б1.В.22,,221,Конфликты и переговоры,УК-3.1; УК-3.2; УК-3.3; ПК-2.1; ПК-2.2; ПК-2.3; УК-10.1; УК-10.2; УК-10.3
,,Б1.В.23,,292,Управление проектами и тайм-менеджмент,ПК-3.1; ПК-3.2; ПК-3.3; ПК-8.1; ПК-8.2; ПК-8.3
,,Б1.В.ДВ.01,,,Дисциплины (модули) по выбору 1 (ДВ.1),ПК-4.1; ПК-4.2; ПК-4.3; ПК-5.1; ПК-5.2; ПК-5.3; ПК-10.1; ПК-10.2; ПК-10.3
,,,Б1.В.ДВ.01.01,292,Медиапланирование,ПК-4.1; ПК-4.2; ПК-4.3; ПК-5.1; ПК-5.2; ПК-5.3; ПК-10.1; ПК-10.2; ПК-10.3
,,,Б1.В.ДВ.01.02,292,Авторское право в медиа,УК-2.1; УК-2.2; УК-2.3; ПК-4.1; ПК-4.2; ПК-4.3
,,Б1.В.ДВ.02,,,Дисциплины (модули) по выбору 2 (ДВ.2),ПК-3.1; ПК-3.2; ПК-3.3; ПК-7.1; ПК-7.2; ПК-7.3
,,,Б1.В.ДВ.02.01,292,Разработка мобильных приложений,ПК-3.1; ПК-3.2; ПК-3.3; ПК-7.1; ПК-7.2; ПК-7.3
,,,Б1.В.ДВ.02.02,292,Интерактивная визуализация данных,ПК-4.1; ПК-4.2; ПК-4.3; ПК-5.1; ПК-5.2; ПК-5.3; ПК-11.1; ПК-11.2; ПК-11.3
Б2,,,,,Практика,УК-1; ОПК-1; ОПК-4; ОПК-5; ПК-3; ПК-1; ПК-4; ПК-2; ПК-5; ПК-9; ПК-6; ПК-10; ПК-7; ПК-11; ПК-8
,Б2.О,,,,Обязательная часть,УК-1; ОПК-1; ОПК-4; ОПК-5
,,Б2.О.01(У),,292,Ознакомительная практика,ОПК-4.1; ОПК-4.2; ОПК-4.3; ОПК-5.1; ОПК-5.2; ОПК-5.3
,,Б2.О.02(У),,292,Технологическая (проектно-технологическая) практика,УК-1.1; УК-1.2; УК-1.3; ОПК-1.1; ОПК-1.2; ОПК-1.3
,Б2.В,,,,"Часть, формируемая участниками образовательных отношений",ПК-1; ПК-3; ПК-2; ПК-4; ПК-5; ПК-9; ПК-6; ПК-10; ПК-7; ПК-11; ПК-8
,,Б2.В.01(П),,292,Технологическая (проектно-технологическая) практика,ПК-3.1; ПК-3.2; ПК-3.3; ПК-9.1; ПК-5.1; ПК-5.2; ПК-9.2; ПК-5.3; ПК-9.3; ПК-10.1; ПК-10.2; ПК-10.3
,,Б2.В.02(Пд),,292,Преддипломная  практика,ПК-1.1; ПК-3.1; ПК-1.2; ПК-3.2; ПК-3.3; ПК-1.3; ПК-2.1; ПК-4.1; ПК-4.2; ПК-2.2; ПК-4.3; ПК-2.3; ПК-9.1; ПК-5.1; ПК-5.2; ПК-9.2; ПК-9.3; ПК-5.3; ПК-10.1; ПК-6.1; ПК-6.2; ПК-10.2; ПК-6.3; ПК-10.3; ПК-11.1; ПК-7.1; ПК-11.2; ПК-7.2; ПК-11.3; ПК-7.3; ПК-8.1; ПК-8.2; ПК-8.3
Б3,,,,,Государственная итоговая аттестация,УК-1; УК-2; УК-3; УК-4; УК-5; УК-6; УК-7; УК-8; ОПК-1; ОПК-2; ОПК-3; ОПК-4; ОПК-5; ОПК-6; ОПК-7; ОПК-8; ОПК-9; ПК-1; ПК-3; ПК-2; ПК-4; ПК-9; ПК-5; ПК-10; ПК-6; ПК-11; ПК-7; ПК-8; УК-9; УК-10
,Б3.01,,,292,выполнение и защита выпускной квалификационной работы,УК-1.1; УК-1.2; УК-1.3; УК-2.1; УК-2.2; УК-2.3; УК-3.1; УК-3.2; УК-3.3; УК-4.1; УК-4.2; УК-4.3; УК-5.1; УК-5.2; УК-5.3; УК-6.1; УК-6.2; УК-6.3; УК-7.1; УК-7.2; УК-7.3; УК-8.1; УК-8.2; УК-8.3; ОПК-1.1; ОПК-1.2; ОПК-1.3; ОПК-2.1; ОПК-2.2; ОПК-2.3; ОПК-3.1; ОПК-3.2; ОПК-3.3; ОПК-4.1; ОПК-4.2; ОПК-4.3; ОПК-5.1; ОПК-5.2; ОПК-5.3; ОПК-6.1; ОПК-6.2; ОПК-6.3; ОПК-7.1; ОПК-7.2; ОПК-7.3; ОПК-8.1; ОПК-8.2; ОПК-8.3; ОПК-9.1; ОПК-9.2; ОПК-9.3; ПК-3.1; ПК-1.1; ПК-1.2; ПК-3.2; ПК-1.3; ПК-3.3; ПК-2.1; ПК-4.1; ПК-4.2; ПК-2.2; ПК-2.3; ПК-4.3; ПК-5.1; ПК-9.1; ПК-9.2; ПК-5.2; ПК-5.3; ПК-9.3; ПК-10.1; ПК-6.1; ПК-6.2; ПК-10.2; ПК-6.3; ПК-10.3; ПК-7.1; ПК-11.1; ПК-7.2; ПК-11.2; ПК-7.3; ПК-11.3; ПК-8.1; ПК-8.2; ПК-8.3; УК-9.1; УК-9.2; УК-9.3; УК-10.1; УК-10.2; УК-10.3
ФТД,,,,,Факультативные дисциплины,УК-1; УК-3; УК-4; УК-5; ОПК-8; ПК-1; ПК-4; ПК-2; ПК-11
,ФТД.01,,,292,Психология визуального восприятия,УК-5.1; УК-5.2; УК-5.3; ОПК-8.1; ОПК-8.2; ОПК-8.3; ПК-4.1; ПК-4.2; ПК-4.3; ПК-11.1; ПК-11.2; ПК-11.3
,ФТД.02,,,292,"Природа, культура и история Красноярского края",УК-1.1; УК-1.2; УК-1.3; УК-5.1; УК-5.2; УК-5.3; ПК-1.1; ПК-1.2; ПК-1.3; ПК-2.1; ПК-2.2; ПК-2.3
,ФТД.03,,,292,Иностранный язык в профессиональной деятельности,УК-3.1; УК-3.2; УК-3.3; УК-4.1; УК-4.2; УК-4.3
