Индекс,,,,,Каф,Наименование,Формируемые компетенции
,,Б1.В.02,,,,Модуль 2. Организационно-управленческий,УК-2.1; УК-2.2; УК-2.3; УК-3.1; УК-3.2; УК-3.3; УК-4.1; УК-4.2; УК-4.3; УК-5.1; УК-5.2; УК-5.3; УК-6.1; УК-6.2; УК-6.3; ПК-5.1; ПК-5.2; ПК-5.3; ПК-6.1; ПК-6.2; ПК-6.3; ПК-7.1; ПК-7.2; ПК-7.3; ПК-8.1; ПК-8.2; ПК-8.3
,,,Б1.В.02.01,,404,Инженерная психология и эргономика,УК-6.1; УК-6.2; УК-6.3; ПК-8.1; ПК-8.2; ПК-8.3
,,,Б1.В.02.02,,404,Конфликтология,УК-3.1; УК-3.2; УК-3.3; ПК-6.1; ПК-6.2; ПК-6.3
,,,Б1.В.02.03,,404,Теория коммуникаций,УК-4.1; УК-4.2; УК-4.3; ПК-5.1; ПК-5.2; ПК-5.3
,,,Б1.В.02.04,,404,Основы межличностных коммуникаций,УК-5.1; УК-5.2; УК-5.3; ПК-5.1; ПК-5.2; ПК-5.3; ПК-6.1; ПК-6.2; ПК-6.3
,,,Б1.В.02.05,,404,Социально-информационный менеджмент,ПК-7.1; ПК-7.2; ПК-7.3; ПК-8.1; ПК-8.2; ПК-8.3
,,,Б1.В.02.06,,404,Организационное поведение,ПК-7.1; ПК-7.2; ПК-7.3; ПК-8.1; ПК-8.2; ПК-8.3
,,,Б1.В.02.07,,404,Логика,УК-6.1; УК-6.2; УК-6.3; ПК-5.1; ПК-5.2; ПК-5.3
,,,Б1.В.02.08,,404,Психология управления,УК-2.1; УК-2.2; УК-2.3; ПК-6.1; ПК-6.2; ПК-6.3; ПК-8.1; ПК-8.2; ПК-8.3
,,,Б1.В.02.ДВ.01,,,Дисциплины по выбору,УК-3.1; УК-3.2; УК-3.3; ПК-7.1; ПК-7.2; ПК-7.3
,,,,Б1.В.02.ДВ.01.01,404,Практическая психология,УК-3.1; УК-3.2; УК-3.3; ПК-7.1; ПК-7.2; ПК-7.3
,,,,Б1.В.02.ДВ.01.02,404,Социология,УК-3.1; УК-3.2; УК-3.3; ПК-7.1; ПК-7.2; ПК-7.3
,,,Б1.В.02.ДВ.02,,,Дисциплины по выбору,УК-3.1; УК-3.2; УК-3.3; ПК-7.1; ПК-7.2; ПК-7.3
,,,,Б1.В.02.ДВ.02.01,404,Социальная психология,УК-3.1; УК-3.2; УК-3.3; ПК-7.1; ПК-7.2; ПК-7.3
,,,,Б1.В.02.ДВ.02.02,404,Психология личности,УК-3.1; УК-3.2; УК-3.3; ПК-7.1; ПК-7.2; ПК-7.3
Б2,,,,,,Практика,УК-1; УК-2; УК-3; ОПК-1; ОПК-4; ОПК-5; ПК-1; ПК-2; ПК-3; ПК-4; ПК-5; ПК-6; ПК-7; ПК-8
,Б2.О,,,,,Обязательная часть,УК-1; ОПК-1; ОПК-4; ОПК-5
,,Б2.О.01(У),,,404,Ознакомительная практика,ОПК-4.1; ОПК-4.2; ОПК-4.3; ОПК-5.1; ОПК-5.2; ОПК-5.3
,,Б2.О.02(У),,,404,Технологическая (проектно-технологическая) практика,УК-1.1; УК-1.2; УК-1.3; ОПК-1.1; ОПК-1.2; ОПК-1.3
,Б2.В,,,,,"Часть, формируемая участниками образовательных отношений",УК-1; УК-2; УК-3; ПК-1; ПК-2; ПК-3; ПК-4; ПК-5; ПК-6; ПК-7; ПК-8
,,Б2.В.01(П),,,404,Технологическая (проектно-технологическая) практика,УК-1.1; УК-1.2; УК-1.3; УК-2.1; УК-2.2; УК-2.3; ПК-1.1; ПК-1.2; ПК-1.3; ПК-2.1; ПК-2.2; ПК-2.3; ПК-3.1; ПК-3.2; ПК-3.3; ПК-4.1; ПК-4.2; ПК-4.3; ПК-5.1; ПК-5.2; ПК-5.3; ПК-6.1; ПК-6.2; ПК-6.3; ПК-7.1; ПК-7.2; ПК-7.3; ПК-8.1; ПК-8.2; ПК-8.3
,,Б2.В.02(Пд),,,404,Преддипломная практика,УК-1.1; УК-1.2; УК-1.3; УК-2.1; УК-2.2; УК-2.3; УК-3.1; УК-3.2; УК-3.3; ПК-1.1; ПК-1.2; ПК-1.3; ПК-2.1; ПК-2.2; ПК-2.3; ПК-3.1; ПК-3.2; ПК-3.3; ПК-4.1; ПК-4.2; ПК-4.3; ПК-5.1; ПК-5.2; ПК-5.3; ПК-6.1; ПК-6.2; ПК-6.3; ПК-7.1; ПК-7.2; ПК-7.3; ПК-8.1; ПК-8.2; ПК-8.3
Б3,,,,,,Государственная итоговая аттестация,УК-1; УК-2; УК-3; УК-4; УК-5; УК-6; УК-7; УК-8; УК-9; УК-10; ОПК-1; ОПК-2; ОПК-3; ОПК-4; ОПК-5; ОПК-6; ОПК-7; ОПК-8; ОПК-9; ПК-1; ПК-2; ПК-3; ПК-4; ПК-5; ПК-6; ПК-7; ПК-8
,Б3.01,,,,404,Подготовка к сдаче и сдача государственного экзамена,УК-1; УК-4; ОПК-1; ОПК-2; ОПК-3; ОПК-4; ОПК-5; ОПК-6; ОПК-7; ОПК-8; ОПК-9; ПК-1
,Б3.02,,,,404,выполнение и защита выпускной квалификационной работы,УК-1; УК-2; УК-3; УК-4; УК-5; УК-6; УК-7; УК-8; УК-9; УК-10; ОПК-1; ОПК-2; ОПК-3; ОПК-4; ОПК-5; ОПК-6; ОПК-7; ОПК-8; ОПК-9; ПК-1; ПК-2; ПК-3; ПК-4; ПК-5; ПК-6; ПК-7; ПК-8
ФТД,,,,,,Факультативные дисциплины,УК-4; УК-6
,ФТД.01,,,,404,Тайм-менеджмент,УК-6.1; УК-6.2; УК-6.3
,ФТД.02,,,,404,Деловая коммуникация,УК-4.1; УК-4.2; УК-4.3
