Source,Target,Type,Kind,Id,Label,timeset,Weight
44,43,Undirected,,,,,3.876582
76,75,Undirected,,,,,2.215190
186,185,Undirected,,,,,4.984177
240,239,Undirected,,,,,2.492089
241,240,Undirected,,,,,2.492089
242,241,Undirected,,,,,2.492089
380,379,Undirected,,,,,5.537975
429,428,Undirected,,,,,6.091772
456,455,Undirected,,,,,2.215190
457,456,Undirected,,,,,2.215190
674,673,Undirected,,,,,0.000000
675,674,Undirected,,,,,0.000000
676,675,Undirected,,,,,0.000000
677,676,Undirected,,,,,0.000000
678,677,Undirected,,,,,0.000000
695,694,Undirected,,,,,5.537975
747,746,Undirected,,,,,5.537975
843,842,Undirected,,,,,4.430380
856,855,Undirected,,,,,0.553797
860,859,Undirected,,,,,0.553797
943,942,Undirected,,,,,5.537975
954,953,Undirected,,,,,4.430380
970,969,Undirected,,,,,4.984177
43,57,Undirected,,,,,9.414557
43,379,Undirected,,,,,9.414557
57,43,Undirected,,,,,9.414557
57,379,Undirected,,,,,11.075949
379,43,Undirected,,,,,9.414557
379,57,Undirected,,,,,11.075949
673,855,Undirected,,,,,0.553797
855,673,Undirected,,,,,0.553797
44,128,Undirected,,,,,9.414557
44,380,Undirected,,,,,9.414557
114,478,Undirected,,,,,6.645570
128,44,Undirected,,,,,9.414557
128,380,Undirected,,,,,11.075949
380,44,Undirected,,,,,9.414557
380,128,Undirected,,,,,11.075949
478,114,Undirected,,,,,6.645570
674,856,Undirected,,,,,0.553797
856,674,Undirected,,,,,0.553797
171,185,Undirected,,,,,10.522152
171,367,Undirected,,,,,9.968354
185,171,Undirected,,,,,10.522152
185,367,Undirected,,,,,9.414557
367,171,Undirected,,,,,9.968354
367,185,Undirected,,,,,9.414557
144,186,Undirected,,,,,8.306962
144,746,Undirected,,,,,8.860759
186,144,Undirected,,,,,8.306962
186,746,Undirected,,,,,10.522152
242,760,Undirected,,,,,5.814873
746,144,Undirected,,,,,8.860759
746,186,Undirected,,,,,10.522152
760,242,Undirected,,,,,5.814873
89,887,Undirected,,,,,5.537975
677,859,Undirected,,,,,0.553797
747,789,Undirected,,,,,8.860759
789,747,Undirected,,,,,8.860759
859,677,Undirected,,,,,0.553797
887,89,Undirected,,,,,5.537975
216,720,Undirected,,,,,8.860759
678,860,Undirected,,,,,0.553797
720,216,Undirected,,,,,8.860759
734,902,Undirected,,,,,7.753165
860,678,Undirected,,,,,0.553797
902,734,Undirected,,,,,7.753165
455,539,Undirected,,,,,4.430380
539,455,Undirected,,,,,4.430380
204,330,Undirected,,,,,11.075949
232,582,Undirected,,,,,7.753165
330,204,Undirected,,,,,11.075949
582,232,Undirected,,,,,7.753165
23,695,Undirected,,,,,8.860759
23,821,Undirected,,,,,8.860759
345,429,Undirected,,,,,11.629747
429,345,Undirected,,,,,11.629747
695,23,Undirected,,,,,8.860759
695,821,Undirected,,,,,11.075949
821,23,Undirected,,,,,8.860759
821,695,Undirected,,,,,11.075949
