OPK;OPK-9;12.5;19.685%
;OPK-8;6;9.44882%
;OPK-7;6;9.44882%
;OPK-4;5;7.87402%
;OPK-3;5;7.87402%
;OPK-10;5.5;8.66142%
;OPK-13;4.5;7.08661%
;OPK-1;3;4.72441%
;OPK-16;2.5;3.93701%
;OPK-12;2.5;3.93701%;52.5;82.6772%
PK;PK-4;3;4.72441%
;PK-5;1.66667;2.62467%
;PK-3;1.66667;2.62467%
;PK-2;1.66667;2.62467%;8;12.5984%
UK;UK-6;3;4.72441%;3;4.72441%
