Comp,Weight
OPK;OPK-3;75.1714;23.7884%
;OPK-7;23.1714;7.33273%
;OPK-4;23.1714;7.33273%
;OPK-1;20.5048;6.48885%
;OPK-9;16.6714;5.27577%
;OPK-10;16.1714;5.11754%
;OPK-8;11.1714;3.53526%
;OPK-2;6.17143;1.95298%
;OPK-14;6.67143;2.11121%
;OPK-6;5.17143;1.63653%
;OPK-4.2;4.67143;1.4783%
;OPK-13;4.67143;1.4783%
;OPK-16;2.67143;0.845389%
;OPK-15;2.17143;0.687161%
;OPK-12;2.67143;0.845389%
;OPK-5;1.17143;0.370705%
;OPK-4.3;1.50476;0.47619%
;OPK-4.1;1.17143;0.370705%
;OPK-17;1.67143;0.528933%
;OPK-11;1.50476;0.47619%;227.929;72.1293%
PK;PK-5;16.2548;5.14391%
;PK-1;8.67143;2.74412%
;PK-4;7.92143;2.50678%
;PK-3;6.50476;2.05847%
;PK-2;5.50476;1.74201%;44.8571;14.1953%
UK;UK-4;16.1714;5.11754%
;UK-6;5.17143;1.63653%
;UK-1;4.17143;1.32007%
;UK-9;3.17143;1.00362%
;UK-8;3.17143;1.00362%
;UK-3;3.17143;1.00362%
;UK-7;2.17143;0.687161%
;UK-2;2.67143;0.845389%
;UK-5;1.67143;0.528933%
;UK-10;1.67143;0.528933%;43.2143;13.6754%
Количество зачётных единиц на все предметы;334
Количество зачётных единиц учтённых предметы;316
Количество дисциплин;71
Количество учтённых дисциплин;70
