-,-,-,Форма контроля,,,,,з.е.,Итого акад.часов,,,,Курс 1,,,,,,,,,,,,,,Курс 2,,,,,,,,,,,,,,Курс 3,,,,,,,,,,,,,,Курс 4,,,,,,,,,,,,,,Закрепленная кафедра
,,,,,,,,,,,,,Семестр 1,,,,,,,Семестр 2,,,,,,,Семестр 3,,,,,,,Семестр 4,,,,,,,Семестр 5,,,,,,,Семестр 6,,,,,,,Семестр 7,,,,,,,Семестр 8,,,,,,,
Считать в плане,Индекс,Наименование,Экза мен,Зачет,Зачет с оц.,КП,КР,Факт,По плану,Конт. раб.,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,Код
+,Б1.О.22,Методы оптимизации,,6,,,,3,108,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,36,,36,36,,,,,,,,,,,,,,,,389
+,Б1.О.23,Управление в организационных системах,,7,,,,3,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,389
+,Б1.О.24,Моделирование систем,7,,,,,4,144,72,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,36,,36,36,36,,,,,,,,389
"Часть, формируемая участниками образовательных отношений ",,,,,,,,93,3348,1424,1564,360,4,144,18,,18,108,,7,252,36,,54,126,36,8,288,54,,72,126,36,11,396,72,,108,180,36,10,360,36,,108,180,36,18,648,72,,216,288,72,22,792,126,,306,288,72,13,468,32,,96,268,72,
+,Б1.В.01,Введение в профессиональную деятельность,2,1,,,,8,288,72,180,36,4,144,18,,18,108,,4,144,18,,18,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389
+,Б1.В.02,Теория и практика эффективного речевого общения,,2,,,,3,108,54,54,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388
+,Б1.В.03,Технологии личностного роста и социальных взаимодействий,,3,,,,3,108,54,54,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317
+,Б1.В.04,Объектно-ориентированное программирование,3,4,,,,8,288,126,126,36,,,,,,,,,,,,,,,5,180,36,,36,72,36,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389
+,Б1.В.05,Разработка web-приложений,,4,,,,3,108,54,54,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389
+,Б1.В.06,Базы данных,4,,,,,5,180,72,72,36,,,,,,,,,,,,,,,,,,,,,,5,180,36,,36,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389
+,Б1.В.07,Нейронные сети и их приложения,8,,,,8,7,252,64,152,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,252,16,,48,152,36,389
+,Б1.В.08,Методы искусственного интеллекта,,6,,,,3,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,98
+,Б1.В.09,Агентное моделирование сложных систем,6,,,,,5,180,90,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,36,,54,54,36,,,,,,,,,,,,,,,389
+,Б1.В.10,Командный курсовой проект,,67,,7,,9,324,144,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,,,72,108,,4,144,,,72,72,,,,,,,,,389
