Индекс,,,,Содержание,Тип
УК-1,,,,"Способен осуществлять поиск, критический анализ и синтез информации, применять системный подход для решения поставленных задач",УК
,УК-1.1,,,"Осуществляет поиск, анализ информации для решения поставленной задачи",-
,,Б1.О.01,,Философия,
,,Б1.О.21,,Методы машинного обучения,
,,Б1.О.23,,Управление в организационных системах,
,,Б1.В.07,,Нейронные сети и их приложения,
,,Б1.В.08,,Методы искусственного интеллекта,
,,Б1.В.09,,Агентное моделирование сложных систем,
,,Б1.В.10,,Командный курсовой проект,
,,Б1.В.11,,Анализ неструктурированных данных,
,,Б2.О.02,,Производственная  практика,
,,Б2.О.02.01(П),,Технологическая (проектно-технологическая) практика,
,,Б2.О.02.02(П),,Научно-исследовательская  работа,
,,Б2.О.02.03(П),,Преддипломная практика,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
,,ФТД.02,,Компьютерное зрение и обработка изображений,
,УК-1.2,,,Осуществляет критический анализ и синтез информации для решения поставленной задачи,-
,,Б1.О.01,,Философия,
,,Б1.О.21,,Методы машинного обучения,
,,Б1.О.23,,Управление в организационных системах,
,,Б1.В.07,,Нейронные сети и их приложения,
,,Б1.В.08,,Методы искусственного интеллекта,
,,Б1.В.09,,Агентное моделирование сложных систем,
,,Б1.В.10,,Командный курсовой проект,
,,Б1.В.11,,Анализ неструктурированных данных,
,,Б2.О.02,,Производственная  практика,
,,Б2.О.02.02(П),,Научно-исследовательская  работа,
,,Б2.О.02.03(П),,Преддипломная практика,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
,,ФТД.02,,Компьютерное зрение и обработка изображений,
,УК-1.3,,,Применяет системный подход для решения поставленных задач,-
,,Б1.О.01,,Философия,
,,Б1.О.21,,Методы машинного обучения,
,,Б1.О.23,,Управление в организационных системах,
,,Б1.В.07,,Нейронные сети и их приложения,
,,Б1.В.08,,Методы искусственного интеллекта,
,,Б1.В.09,,Агентное моделирование сложных систем,
,,Б1.В.10,,Командный курсовой проект,
,,Б2.О.02,,Производственная  практика,
,,Б2.О.02.02(П),,Научно-исследовательская  работа,
,,Б2.О.02.03(П),,Преддипломная практика,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
УК-2,,,,"Способен определять круг задач в рамках поставленной цели и выбирать оптимальные способы их решения, исходя из действующих правовых норм, имеющихся ресурсов и ограничений",УК
,УК-2.1,,,"Формулирует в рамках поставленной цели проекта совокупность взаимосвязанных задач, обеспечивающих ее достижение. Определяет ожидаемые результаты решения выделенных задач",-
,,Б1.В.10,,Командный курсовой проект,
,,Б1.В.12,,Управление программными проектами,
,,Б2.О.02,,Производственная  практика,
,,Б2.О.02.03(П),,Преддипломная практика,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
,УК-2.2,,,Способен выбирать действующие правовые нормы в рамках поставленных задач,-
,,Б1.О.20,,Защита интеллектуальной собственности,
