-,-,-,Форма контроля,,,,з.е.,-,Итого акад.часов,,,,,,Курс 1,,,,,,,,,,,,,,Курс 2,,,,,,,,,,,,,,Курс 3,,,,,,,,,,,,,,Курс 4,,,,,,,,,,,,,,Курс 5,,,,,,,,,,,,,,Курс 6,,,,,,,,,,,,,,Закрепленная кафедра
,,,,,,,,,,,,,,,Семестр 1,,,,,,,Семестр 2,,,,,,,Семестр 3,,,,,,,Семестр 4,,,,,,,Семестр 5,,,,,,,Семестр 6,,,,,,,Семестр 7,,,,,,,Семестр 8,,,,,,,Семестр 9,,,,,,,Семестр A,,,,,,,Семестр B,,,,,,,Семестр C,,,,,,,
Считать в плане,Индекс,Наименование,Экза мен,Зачет,Зачет с оц.,КР,Факт,Часов в з.е.,Экспер тное,По плану,Конт. раб.,Ауд.,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,Код
+,Б1.О.38,Информатика,1,,,,4,36,144,144,54,54,54,36,4,144,18,,36,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93
+,Б1.О.39,Информационные технологии,,3,,,3,36,108,108,72,72,36,,,,,,,,,,,,,,,,3,108,36,36,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94
+,Б1.О.40,Аппаратные средства вычислительной техники,,5,,,3,36,108,108,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,36,36,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92
+,Б1.О.41,Языки программирования,2,1,,,8,36,288,288,126,126,126,36,4,144,18,,54,72,,4,144,18,,36,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94
+,Б1.О.42,Языки программирования. Дополнительные разделы,4,3,,,9,36,324,324,144,144,144,36,,,,,,,,,,,,,,,4,144,36,,36,72,,5,180,36,,36,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92
+,Б1.О.43,Технологии и методы программирования,,8,,,3,36,108,108,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,36,,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92
+,Б1.О.44,Параллельное программирование,,7,,,3,36,108,108,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,36,,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359
+,Б1.О.45,Теория информации,6,,,,3,36,108,108,54,54,18,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,36,,18,18,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.О.46,Теоретико-числовые методы в криптографии,6,,,,5,36,180,180,72,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,36,,36,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.О.47,Защита программ и данных,8,,,,5,36,180,180,72,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,36,18,18,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
