Вид,,,Курс,Сем,Каф.,Студ.,Замечания
 ,,,,,,,
,Методы машинного обучения ,,,,,,
,,КР,3,1,389,0,
,Теория систем ,,,,,,
,,КР,3,1,389,0,
,Командный курсовой проект ,,,,,,
,,КП,4,1,389,0,
,Нейронные сети и их приложения ,,,,,,
,,КР,4,2,389,0,
,Управление программными проектами ,,,,,,
,,КР,4,1,389,0,
Дисциплины по выбору Б1.В.ДВ.1 ,,,,,,,
,Проектирование и архитектура информационных систем ,,,,,,
,,КР,3,1,389,0,
,Теория и технология программирования ,,,,,,
,,КР,3,1,389,0,
