Индекс,,,,Наименование,Компетенции,Требования к образованию
06,,,,"СВЯЗЬ, ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ",,
,06.032,,,СПЕЦИАЛИСТ ПО БЕЗОПАСНОСТИ КОМПЬЮТЕРНЫХ СИСТЕМ И СЕТЕЙ,ПК-1; ПК-2; ПК-3; ПК-4; ПК-5,
,,C,,Оценивание уровня безопасности компьютерных систем и сетей,ПК-1; ПК-2; ПК-3; ПК-4; ПК-5,Высшее образование - специалитет или магистратура в области информационной безопасности
,,,C/02.7,"Разработка требований по защите, формирование политик безопасности компьютерных систем и сетей",ПК-1; ПК-2; ПК-3; ПК-4; ПК-5,
