Индекс,,,,Наименование,Формируемые компетенции
Б1,,,,Дисциплины (модули),УК-1; УК-2; УК-3; УК-4; УК-5; УК-6; УК-7; УК-8; УК-9; УК-10; ОПК-1; ОПК-2; ОПК-3; ОПК-4; ОПК-5; ОПК-6; ОПК-7; ОПК-8; ОПК-9; ПК-1; ПК-2; ПК-3; ПК-4
,Б1.О,,,Обязательная часть,УК-1; УК-2; УК-3; УК-4; УК-5; УК-6; УК-7; УК-8; ОПК-1; ОПК-2; ОПК-3; ОПК-4; ОПК-5; ОПК-6; ОПК-7; ОПК-8; ОПК-9
,,Б1.О.01,,Философия,УК-1; УК-5; УК-6
,,Б1.О.02,,История,УК-5
,,,Б1.О.02.01,История России,УК-5
,,,Б1.О.02.02,Всеобщая история,УК-5
,,Б1.О.03,,Иностранный язык,УК-4
,,Б1.О.04,,Безопасность жизнедеятельности,УК-8
,,Б1.О.05,,Физика,ОПК-1
,,Б1.О.06,,Информатика,ОПК-1; ОПК-2; ОПК-8; ОПК-9
,,Б1.О.07,,Основы программирования,ОПК-8
,,Б1.О.08,,Введение в профессиональную деятельность,УК-2; ОПК-7
,,Б1.О.09,,Алгебра и геометрия,ОПК-1
,,Б1.О.10,,Математический анализ,ОПК-1
,,Б1.О.11,,Теория  и практика эффективного речевого общения,УК-3; УК-4
,,Б1.О.12,,Дискретная математика,ОПК-1
,,Б1.О.13,,Теория вероятностей и математическая статистика,ОПК-1
,,Б1.О.14,,Операционные системы,ОПК-2; ОПК-5
,,Б1.О.15,,Электротехника и электроника,ОПК-1
,,Б1.О.16,,ЭВМ и периферийные устройства,ОПК-4; ОПК-7
,,Б1.О.17,,Сети и телекоммуникации,ОПК-3; ОПК-6; ОПК-7
,,Б1.О.18,,Базы данных,УК-1; УК-2; ОПК-1; ОПК-8
,,Б1.О.19,,Информационная безопасность и защита информации,ОПК-3
,,Б1.О.20,,Физическая культура и спорт,УК-7
,,Б1.О.21,,Прикладная физическая культура и спорт,УК-7
,Б1.В,,,"Часть, формируемая участниками образовательных отношений",УК-1; УК-2; УК-4; УК-9; УК-10; ПК-1; ПК-2; ПК-3; ПК-4
,,Б1.В.01,,Алгоритмы и структуры данных,ПК-1; ПК-2
,,Б1.В.02,,Междисциплинарный курсовой проект базового уровня,ПК-1
,,Б1.В.03,,Основы проектирования программного обеспечения,ПК-1; ПК-3
,,Б1.В.04,,Основы конструирования средств вычислительной техники,ПК-3
,,Б1.В.05,,Основы сетевых технологий,ПК-4
,,Б1.В.06,,Решение оптимизационных задач программными средствами,ПК-1
,,Б1.В.07,,Прикладная теория цифровых автоматов,УК-1; ПК-1
,,Б1.В.08,,Системное программное обеспечение,ПК-4
,,Б1.В.09,,Методы и системы принятия решений,УК-1; ПК-1
,,Б1.В.10,,Параллельные вычислительные системы,УК-2; ПК-1; ПК-2
,,Б1.В.11,,Защита вычислительных систем,УК-1; ПК-4
,,Б1.В.12,,Теория управления,УК-1
,,Б1.В.13,,Схемотехника ЭВМ,УК-2; ПК-3
,,Б1.В.14,,Основы адаптивных систем управления,УК-2; ПК-1; ПК-2
,,Б1.В.15,,Методы проектирования и САПР вычислительных систем,ПК-3; ПК-4
,,Б1.В.16,,Микропроцессорные системы,УК-1; ПК-1
,,Б1.В.17,,Программируемые логические интегральные схемы,УК-1; ПК-2
,,Б1.В.18,,Интернет-технологии,ПК-3
,,Б1.В.19,,Профессионально-ориентированный иностранный язык,УК-4
,,Б1.В.20,,Междисциплинарный курсовой прект,ПК-2; ПК-3; ПК-4
,,Б1.В.21,,Автоматизация проектирования встраиваемых систем,УК-1
,,Б1.В.22,,Экономическая культура и финансовая грамотность,УК-9
,,Б1.В.23,,Основы профилактики коррупции,УК-10
,,Б1.В.ДВ.01,,Дисциплины по выбору Б1.В.ДВ.1,ПК-3
,,,Б1.В.ДВ.01.01,Цифровая обработка сигналов,ПК-3
,,,Б1.В.ДВ.01.02,Программное обеспечение автономных систем,ПК-1; ПК-2
,,Б1.В.ДВ.02,,Дисциплины по выбору Б1.В.ДВ.2,ПК-4
,,,Б1.В.ДВ.02.01,Сетевые ОС и администрирование сетей,ПК-4
,,,Б1.В.ДВ.02.02,Организация процесса проектирования программного обеспечения,ПК-2; ПК-4
,,Б1.В.ДВ.03,,Дисциплины по выбору Б1.В.ДВ.3,УК-1; ПК-3
,,,Б1.В.ДВ.03.01,Системы автоматизации испытаний,УК-1; ПК-3
,,,Б1.В.ДВ.03.02,Гибридные вычислительные системы,ПК-1
,,Б1.В.ДВ.04,,Дисциплины по выбору Б1.В.ДВ.4,ПК-4
,,,Б1.В.ДВ.04.01,Беспроводные и сенсорные сети,ПК-4
,,,Б1.В.ДВ.04.02,Программное  обеспечение мобильных систем,УК-1; ПК-2
Б2,,,,Практика,УК-1; ОПК-2; ОПК-8; ПК-1; ПК-2; ПК-3; ПК-4
,Б2.О,,,Обязательная часть,УК-1; ОПК-2; ОПК-8
,,Б2.О.01(У),,Ознакомительная практика,ОПК-8
,,Б2.О.02(П),,Эксплуатационная практика,УК-1; ОПК-2
,Б2.В,,,"Часть, формируемая участниками образовательных отношений",ПК-1; ПК-2; ПК-3; ПК-4
,,Б2.В.01(П),,Технологическая (проектно-технологическая) практика,ПК-1; ПК-2; ПК-3; ПК-4
,,Б2.В.02(П),,Преддипломная,ПК-1; ПК-2; ПК-3; ПК-4
Б3,,,,Государственная итоговая аттестация,УК-1; УК-2; УК-3; УК-4; УК-5; УК-6; УК-7; УК-8; УК-9; УК-10; ОПК-1; ОПК-2; ОПК-3; ОПК-4; ОПК-5; ОПК-6; ОПК-7; ОПК-8; ОПК-9; ПК-1; ПК-2; ПК-3; ПК-4
,Б3.01(Д),,,выполнение и защита выпускной квалификационной работы,УК-1; УК-2; УК-3; УК-4; УК-5; УК-6; УК-7; УК-8; УК-9; УК-10; ОПК-1; ОПК-2; ОПК-3; ОПК-4; ОПК-5; ОПК-6; ОПК-7; ОПК-8; ОПК-9; ПК-1; ПК-2; ПК-3; ПК-4
ФТД,,,,Факультативы,УК-4; УК-5
