-,-,-,Форма контроля,,,,,з.е.,Итого акад.часов,,,,Курс 1,,,,,,,,,,,,,,Курс 2,,,,,,,,,,,,,,Курс 3,,,,,,,,,,,,,,Курс 4,,,,,,,,,,,,,,Закрепленная кафедра
,,,,,,,,,,,,,Семестр 1,,,,,,,Семестр 2,,,,,,,Семестр 3,,,,,,,Семестр 4,,,,,,,Семестр 5,,,,,,,Семестр 6,,,,,,,Семестр 7,,,,,,,Семестр 8,,,,,,,
+,Б1.В.ДВ.04,Дисциплины по выбору Б1.В.ДВ.4,,8,,,,3,108,48,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,24,24,,60,,
+,Б1.В.ДВ.04.01,Беспроводные и сенсорные сети,,8,,,,3,108,48,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,24,24,,60,,92
-,Б1.В.ДВ.04.02,Программное  обеспечение мобильных систем,,8,,,,3,108,48,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,24,24,,60,,92
Блок 2.Практика ,,,,,,,,21,756,,756,,,,,,,,,3,108,,,,108,,,,,,,,,3,108,,,,108,,,,,,,,,6,216,,,,216,,,,,,,,,9,324,,,,324,,
Обязательная часть ,,,,,,,,6,216,,216,,,,,,,,,3,108,,,,108,,,,,,,,,3,108,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,Б2.О.01(У),Ознакомительная практика,,,2,,,3,108,,108,,,,,,,,,3,108,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92
+,Б2.О.02(П),Эксплуатационная практика,,,4,,,3,108,,108,,,,,,,,,,,,,,,,,,,,,,,3,108,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92
"Часть, формируемая участниками образовательных отношений ",,,,,,,,15,540,,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,216,,,,216,,,,,,,,,9,324,,,,324,,
+,Б2.В.01(П),Технологическая (проектно-технологическая) практика,,,6,,,6,216,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,216,,,,216,,,,,,,,,,,,,,,,92
+,Б2.В.02(П),Преддипломная,,,8,,,9,324,,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,324,,,,324,,92
Блок 3.Государственная итоговая аттестация ,,,,,,,,9,324,,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,324,,,,324,,
+,Б3.01(Д),выполнение и защита выпускной квалификационной работы,,,,,,9,324,,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,324,,,,324,,92
ФТД.Факультативы ,,,,,,,,4,144,36,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,,,36,108,,,,,,,,,,,,,,,,
+,ФТД.01,Основы академического письма,,6,,,,2,72,18,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,72,,,18,54,,,,,,,,,,,,,,,,92
+,ФТД.02,История вычислительной техники,,6,,,,2,72,18,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,72,,,18,54,,,,,,,,,,,,,,,,92
