Comp,Weight
OPK;OPK-1;23.3462;11.3331%
;OPK-2;17.3462;8.42046%
;OPK-6;16.5128;8.01593%
;OPK-7;13.8462;6.72143%
;OPK-3;7.84615;3.80881%
;OPK-10;6.84615;3.32338%
;OPK-8;4.51282;2.19069%
;OPK-4;4.84615;2.3525%
;OPK-5;2.34615;1.13891%
;OPK-9;1.34615;0.653473%;98.7949;47.9587%
PK;PK-3;9.47115;4.59765%
;PK-4;5.97115;2.89862%
;PK-1;4.97115;2.41318%
;PK-6;1.47115;0.714152%
;PK-5;1.47115;0.714152%;23.3558;11.3378%
UK;UK-1;27.1378;13.1737%
;UK-4;12.3462;5.99328%
;UK-6;11.3462;5.50784%
;UK-5;6.34615;3.08066%
;UK-3;6.47115;3.14134%
;UK-2;6.47115;3.14134%
;UK-8;4.34615;2.10978%
;UK-10;3.34615;1.62435%
;UK-7;2.34615;1.13891%
;UK-11;2.34615;1.13891%
;UK-9;1.34615;0.653473%;83.8494;40.7036%
Количество зачётных единиц на все предметы;245
Количество зачётных единиц учтённых предметы;206
Количество дисциплин;47
Количество учтённых дисциплин;42
