Source,Target,Type,Kind,Id,Label,timeset,Weight
0,1,Undirected,,,,,14.271845
0,2,Undirected,,,,,28.543689
0,3,Undirected,,,,,28.543689
0,4,Undirected,,,,,11.213592
0,5,Undirected,,,,,13.252427
0,6,Undirected,,,,,34.660194
0,7,Undirected,,,,,28.543689
0,8,Undirected,,,,,26.504854
0,9,Undirected,,,,,18.349515
0,10,Undirected,,,,,26.504854
0,11,Undirected,,,,,13.252427
0,12,Undirected,,,,,146.796117
0,13,Undirected,,,,,12.233010
0,14,Undirected,,,,,24.466019
0,15,Undirected,,,,,12.233010
0,16,Undirected,,,,,38.737864
0,17,Undirected,,,,,12.233010
0,18,Undirected,,,,,42.815534
0,19,Undirected,,,,,24.466019
0,20,Undirected,,,,,26.504854
0,21,Undirected,,,,,16.310680
0,22,Undirected,,,,,30.582524
0,23,Undirected,,,,,36.699029
0,24,Undirected,,,,,11.213592
0,25,Undirected,,,,,9.174757
0,26,Undirected,,,,,24.466019
0,27,Undirected,,,,,53.009709
0,28,Undirected,,,,,24.466019
0,29,Undirected,,,,,12.233010
0,30,Undirected,,,,,15.291262
0,31,Undirected,,,,,18.349515
0,32,Undirected,,,,,36.699029
0,33,Undirected,,,,,24.466019
0,34,Undirected,,,,,24.466019
0,35,Undirected,,,,,45.873786
0,36,Undirected,,,,,30.582524
0,37,Undirected,,,,,34.660194
0,38,Undirected,,,,,11.213592
0,39,Undirected,,,,,26.504854
0,40,Undirected,,,,,12.233010
0,41,Undirected,,,,,36.699029
1,3,Undirected,,,,,10.194175
1,12,Undirected,,,,,14.271845
1,13,Undirected,,,,,8.155340
1,17,Undirected,,,,,8.155340
1,18,Undirected,,,,,10.194175
1,21,Undirected,,,,,12.233010
1,33,Undirected,,,,,8.155340
1,39,Undirected,,,,,9.174757
2,7,Undirected,,,,,20.388350
2,14,Undirected,,,,,16.310680
2,16,Undirected,,,,,30.582524
2,22,Undirected,,,,,11.213592
2,28,Undirected,,,,,16.310680
2,36,Undirected,,,,,11.213592
2,37,Undirected,,,,,26.504854
3,12,Undirected,,,,,28.543689
3,13,Undirected,,,,,8.155340
3,17,Undirected,,,,,8.155340
3,18,Undirected,,,,,10.194175
3,21,Undirected,,,,,12.233010
3,33,Undirected,,,,,8.155340
3,35,Undirected,,,,,11.213592
3,39,Undirected,,,,,9.174757
4,18,Undirected,,,,,7.135922
4,20,Undirected,,,,,6.116505
4,26,Undirected,,,,,5.097087
4,31,Undirected,,,,,11.213592
6,12,Undirected,,,,,17.330097
6,22,Undirected,,,,,14.271845
6,32,Undirected,,,,,22.427184
6,36,Undirected,,,,,14.271845
7,14,Undirected,,,,,16.310680
7,16,Undirected,,,,,30.582524
7,22,Undirected,,,,,11.213592
7,28,Undirected,,,,,16.310680
7,36,Undirected,,,,,11.213592
7,37,Undirected,,,,,26.504854
8,12,Undirected,,,,,13.252427
8,19,Undirected,,,,,7.135922
8,34,Undirected,,,,,7.135922
9,29,Undirected,,,,,12.233010
10,15,Undirected,,,,,7.135922
10,19,Undirected,,,,,7.135922
10,23,Undirected,,,,,26.504854
10,27,Undirected,,,,,8.155340
10,33,Undirected,,,,,7.135922
11,39,Undirected,,,,,8.155340
12,13,Undirected,,,,,12.233010
12,17,Undirected,,,,,12.233010
12,18,Undirected,,,,,14.271845
12,19,Undirected,,,,,12.233010
12,21,Undirected,,,,,16.310680
12,30,Undirected,,,,,15.291262
12,32,Undirected,,,,,12.233010
12,33,Undirected,,,,,12.233010
12,34,Undirected,,,,,24.466019
12,35,Undirected,,,,,45.873786
12,39,Undirected,,,,,13.252427
13,17,Undirected,,,,,6.116505
13,18,Undirected,,,,,8.155340
13,21,Undirected,,,,,10.194175
13,33,Undirected,,,,,6.116505
13,39,Undirected,,,,,7.135922
14,16,Undirected,,,,,26.504854
14,22,Undirected,,,,,9.174757
14,28,Undirected,,,,,12.233010
14,36,Undirected,,,,,9.174757
14,37,Undirected,,,,,22.427184
15,19,Undirected,,,,,6.116505
15,23,Undirected,,,,,12.233010
15,27,Undirected,,,,,7.135922
15,33,Undirected,,,,,6.116505
16,22,Undirected,,,,,16.310680
16,28,Undirected,,,,,26.504854
16,36,Undirected,,,,,16.310680
16,37,Undirected,,,,,36.699029
17,18,Undirected,,,,,8.155340
17,21,Undirected,,,,,10.194175
17,33,Undirected,,,,,6.116505
17,39,Undirected,,,,,7.135922
18,20,Undirected,,,,,9.174757
18,21,Undirected,,,,,12.233010
18,26,Undirected,,,,,16.310680
18,27,Undirected,,,,,9.174757
18,31,Undirected,,,,,14.271845
18,33,Undirected,,,,,8.155340
18,39,Undirected,,,,,9.174757
19,23,Undirected,,,,,12.233010
19,27,Undirected,,,,,7.135922
19,33,Undirected,,,,,6.116505
19,34,Undirected,,,,,6.116505
20,26,Undirected,,,,,7.135922
20,27,Undirected,,,,,8.155340
20,31,Undirected,,,,,13.252427
20,41,Undirected,,,,,13.252427
21,33,Undirected,,,,,10.194175
21,39,Undirected,,,,,11.213592
22,28,Undirected,,,,,9.174757
22,32,Undirected,,,,,9.174757
22,36,Undirected,,,,,24.466019
22,37,Undirected,,,,,14.271845
23,27,Undirected,,,,,13.252427
23,33,Undirected,,,,,12.233010
25,38,Undirected,,,,,2.038835
26,27,Undirected,,,,,7.135922
26,31,Undirected,,,,,12.233010
